"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010639","GO:0010639","negative regulation of organelle organization","6/14","330/13354",5.52913158029166e-07,0.000228353134266046,0.000134445199478671,"66977/21973/72119/268697/12449/80986",6
"GO:0000079","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","3/14","62/13354",3.34495855389846e-05,0.00442364653514651,0.0026044662918793,"268697/12449/12428",3
"GO:1904029","GO:1904029","regulation of cyclin-dependent protein kinase activity","3/14","66/13354",4.03719986284918e-05,0.00442364653514651,0.0026044662918793,"268697/12449/12428",3
"GO:0051304","GO:0051304","chromosome separation","3/14","69/13354",4.61391407252074e-05,0.00442364653514651,0.0026044662918793,"66977/21973/268697",3
"GO:0000819","GO:0000819","sister chromatid segregation","4/14","211/13354",5.35550427983839e-05,0.00442364653514651,0.0026044662918793,"66977/21973/72119/268697",4
"GO:2001251","GO:2001251","negative regulation of chromosome organization","3/14","86/13354",8.91792008994484e-05,0.00613850166191203,0.00361410445750396,"66977/21973/268697",3
"GO:0098813","GO:0098813","nuclear chromosome segregation","4/14","262/13354",0.0001241403629388,0.0073242814133892,0.00431224418629516,"66977/21973/72119/268697",4
"GO:0007052","GO:0007052","mitotic spindle organization","3/14","115/13354",0.000211324259164346,0.0104219194019309,0.00613600963896018,"66977/72119/268697",3
"GO:0031639","GO:0031639","plasminogen activation","2/14","23/13354",0.000254997912422689,0.0104219194019309,0.00613600963896018,"21922/432478",2
"GO:0048144","GO:0048144","fibroblast proliferation","3/14","125/13354",0.000270280619340178,0.0104219194019309,0.00613600963896018,"12825/268697/12428",3
"GO:0000280","GO:0000280","nuclear division","4/14","331/13354",0.000304756762741154,0.0104219194019309,0.00613600963896018,"66977/21973/72119/268697",4
"GO:0007059","GO:0007059","chromosome segregation","4/14","343/13354",0.000349086429542689,0.0104219194019309,0.00613600963896018,"66977/21973/72119/268697",4
"GO:1902850","GO:1902850","microtubule cytoskeleton organization involved in mitosis","3/14","141/13354",0.000385154411291945,0.0104219194019309,0.00613600963896018,"66977/72119/268697",3
"GO:0030261","GO:0030261","chromosome condensation","2/14","29/13354",0.000407737911456141,0.0104219194019309,0.00613600963896018,"21973/268697",2
"GO:0007026","GO:0007026","negative regulation of microtubule depolymerization","2/14","30/13354",0.000436600432011861,0.0104219194019309,0.00613600963896018,"72119/80986",2
"GO:0031114","GO:0031114","regulation of microtubule depolymerization","2/14","32/13354",0.000497228808855911,0.0104219194019309,0.00613600963896018,"72119/80986",2
"GO:0051494","GO:0051494","negative regulation of cytoskeleton organization","3/14","154/13354",0.000498689067073134,0.0104219194019309,0.00613600963896018,"72119/12449/80986",3
