"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008202","GO:0008202","steroid metabolic process","2/5","241/13354",0.00312910227397185,0.045566550377916,0.0222934938839322,"15483/381236",2
"GO:0006704","GO:0006704","glucocorticoid biosynthetic process","1/5","10/13354",0.00373915229811983,0.045566550377916,0.0222934938839322,"15483",1
"GO:0008212","GO:0008212","mineralocorticoid metabolic process","1/5","12/13354",0.00448563874659058,0.045566550377916,0.0222934938839322,"15483",1
"GO:0006596","GO:0006596","polyamine biosynthetic process","1/5","14/13354",0.00523167766123112,0.045566550377916,0.0222934938839322,"18263",1
"GO:0043471","GO:0043471","regulation of cellular carbohydrate catabolic process","1/5","15/13354",0.00560452935626043,0.045566550377916,0.0222934938839322,"15483",1
"GO:0008211","GO:0008211","glucocorticoid metabolic process","1/5","17/13354",0.00634989734749702,0.045566550377916,0.0222934938839322,"15483",1
"GO:0035634","GO:0035634","response to stilbenoid","1/5","17/13354",0.00634989734749702,0.045566550377916,0.0222934938839322,"319554",1
"GO:0006098","GO:0006098","pentose-phosphate shunt","1/5","18/13354",0.00672241369399662,0.045566550377916,0.0222934938839322,"15483",1
"GO:0006706","GO:0006706","steroid catabolic process","1/5","18/13354",0.00672241369399662,0.045566550377916,0.0222934938839322,"15483",1
"GO:0006595","GO:0006595","polyamine metabolic process","1/5","19/13354",0.00709481830793846,0.045566550377916,0.0222934938839322,"18263",1
"GO:0006740","GO:0006740","NADPH regeneration","1/5","21/13354",0.00783929243869319,0.045566550377916,0.0222934938839322,"15483",1
"GO:0051156","GO:0051156","glucose 6-phosphate metabolic process","1/5","26/13354",0.00969852420493045,0.045566550377916,0.0222934938839322,"15483",1
"GO:0120178","GO:0120178","steroid hormone biosynthetic process","1/5","27/13354",0.0100700358630168,0.045566550377916,0.0222934938839322,"15483",1
"GO:0008299","GO:0008299","isoprenoid biosynthetic process","1/5","29/13354",0.0108127246849035,0.045566550377916,0.0222934938839322,"319554",1
"GO:0009309","GO:0009309","amine biosynthetic process","1/5","29/13354",0.0108127246849035,0.045566550377916,0.0222934938839322,"18263",1
"GO:0042401","GO:0042401","biogenic amine biosynthetic process","1/5","29/13354",0.0108127246849035,0.045566550377916,0.0222934938839322,"18263",1
"GO:0006163","GO:0006163","purine nucleotide metabolic process","2/5","457/13354",0.0109103007947123,0.045566550377916,0.0222934938839322,"15483/20216",2
"GO:0072521","GO:0072521","purine-containing compound metabolic process","2/5","490/13354",0.0124817531471004,0.0492335818580072,0.0240875937926499,"15483/20216",2
