"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","GO:0007059","chromosome segregation","52/732","429/28564",1.42170853747324e-20,6.4119055040043e-17,5.18549482352081e-17,"329152/108000/66977/12316/72119/215387/68612/12235/20878/12236/51944/16571/67037/56742/73804/107995/52276/14579/21335/54392/110033/54204/233406/17345/18817/320394/67177/234396/76789/218977/108912/56739/11920/22137/67629/12442/21973/70385/11799/54141/20877/26886/193385/268697/26934/332110/67052/214901/100502766/16319/67849/16551",52
"GO:0098813","GO:0098813","nuclear chromosome segregation","45/732","338/28564",1.42515310628898e-19,3.21372025468166e-16,2.59902921752175e-16,"329152/108000/66977/12316/72119/215387/68612/12235/20878/12236/51944/16571/56742/73804/107995/52276/14579/21335/54392/110033/54204/233406/18817/67177/234396/76789/56739/11920/22137/67629/12442/21973/70385/11799/54141/20877/193385/268697/26934/332110/67052/100502766/16319/67849/16551",45
"GO:0000819","GO:0000819","sister chromatid segregation","37/732","243/28564",2.83408998006075e-18,4.26058193669132e-15,3.44565676523175e-15,"329152/66977/72119/215387/68612/12235/12236/51944/56742/73804/107995/52276/21335/54392/110033/233406/18817/67177/76789/56739/11920/22137/67629/21973/70385/11799/54141/20877/193385/268697/26934/332110/67052/100502766/16319/67849/16551",37
"GO:0007051","GO:0007051","spindle organization","31/732","189/28564",1.84905428792429e-16,1.94553776149584e-13,1.57341308054221e-13,"66977/12316/72119/20878/51944/16571/56742/69885/107995/52276/21335/54204/233406/233064/18817/76789/218977/12442/11799/54141/20877/26886/193385/268697/26934/332110/18763/67052/100502766/16319/16551",31
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","31/732","190/28564",2.15691547837676e-16,1.94553776149584e-13,1.57341308054221e-13,"66977/72119/215387/12235/12236/51944/56742/73804/107995/52276/54392/110033/233406/18817/67177/76789/11920/22137/67629/70385/11799/54141/20877/193385/268697/26934/67052/100502766/16319/67849/16551",31
"GO:0140014","GO:0140014","mitotic nuclear division","37/732","280/28564",3.28492010190952e-16,2.22989894863789e-13,1.80338425884707e-13,"66977/72119/215387/68612/12235/20878/12236/51944/56742/73804/107995/52276/54392/12223/12576/110033/233406/17345/18817/67177/76789/108912/11920/22137/67629/70385/11799/54141/20877/193385/268697/26934/67052/100502766/16319/67849/16551",37
"GO:0051983","GO:0051983","regulation of chromosome segregation","26/732","130/28564",3.46104049677721e-16,2.22989894863789e-13,1.80338425884707e-13,"329152/66977/215387/68612/12235/12236/73804/107995/52276/21335/54392/17345/18817/67177/108912/11920/22137/67629/70385/11799/20877/268697/332110/67052/214901/16319",26
"GO:0000280","GO:0000280","nuclear division","47/732","456/28564",6.52570423076182e-16,3.67886576009198e-13,2.97520594205128e-13,"66977/12316/72119/215387/68612/12235/20878/12236/51944/56742/73804/107995/52276/192199/54392/12223/12576/232174/110033/54204/233406/17345/18817/67177/234396/76789/108912/56739/11920/22137/67629/12442/21973/70385/11799/54141/20877/193385/268697/26934/332110/67052/214901/100502766/16319/67849/16551",47
"GO:1902850","GO:1902850","microtubule cytoskeleton organization involved in mitosis","27/732","156/28564",4.15014772861237e-15,2.0796851395602e-12,1.68190197422712e-12,"66977/72119/72080/20878/16571/56742/107995/52276/21335/233406/233064/18817/76789/218977/103583/70385/11799/20877/26886/193385/268697/26934/18763/67052/100502766/16319/16551",27
"GO:0031577","GO:0031577","spindle checkpoint signaling","17/732","53/28564",1.00893572406244e-14,4.13663646865601e-12,3.3454184534702e-12,"66977/12235/20878/12236/107995/52276/18817/67177/11920/22137/67629/70385/11799/20877/268697/67052/16319",17
"GO:0051985","GO:0051985","negative regulation of chromosome segregation","17/732","53/28564",1.00893572406244e-14,4.13663646865601e-12,3.3454184534702e-12,"66977/12235/12236/107995/52276/18817/67177/11920/22137/67629/70385/11799/20877/268697/67052/214901/16319",17
"GO:0007052","GO:0007052","mitotic spindle organization","24/732","125/28564",1.25370290785075e-14,4.7118334286724e-12,3.81059699623057e-12,"66977/72119/20878/16571/56742/107995/52276/21335/233406/233064/18817/76789/218977/11799/20877/26886/193385/268697/26934/18763/67052/100502766/16319/16551",24
"GO:0051304","GO:0051304","chromosome separation","20/732","82/28564",1.61844584192019e-14,5.61476211312311e-12,4.54082173461817e-12,"66977/215387/12235/12236/107995/52276/54392/18817/67177/11920/22137/67629/21973/70385/11799/20877/268697/332110/67052/16319",20
"GO:1905818","GO:1905818","regulation of chromosome separation","19/732","73/28564",2.01644447696201e-14,6.49583185078476e-12,5.25336850576945e-12,"66977/215387/12235/12236/107995/52276/54392/18817/67177/11920/22137/67629/70385/11799/20877/268697/332110/67052/16319",19
"GO:0007094","GO:0007094","mitotic spindle assembly checkpoint signaling","16/732","48/28564",3.0945827593375e-14,8.72285515288257e-12,7.05442714546344e-12,"66977/12235/12236/107995/52276/18817/67177/11920/22137/67629/70385/11799/20877/268697/67052/16319",16
"GO:0071173","GO:0071173","spindle assembly checkpoint signaling","16/732","48/28564",3.0945827593375e-14,8.72285515288257e-12,7.05442714546344e-12,"66977/12235/12236/107995/52276/18817/67177/11920/22137/67629/70385/11799/20877/268697/67052/16319",16
"GO:0033046","GO:0033046","negative regulation of sister chromatid segregation","16/732","50/28564",6.4426320884345e-14,1.38363193899236e-11,1.11898346799125e-11,"66977/12235/12236/107995/52276/18817/67177/11920/22137/67629/70385/11799/20877/268697/67052/16319",16
"GO:0033048","GO:0033048","negative regulation of mitotic sister chromatid segregation","16/732","50/28564",6.4426320884345e-14,1.38363193899236e-11,1.11898346799125e-11,"66977/12235/12236/107995/52276/18817/67177/11920/22137/67629/70385/11799/20877/268697/67052/16319",16
"GO:0045841","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","16/732","50/28564",6.4426320884345e-14,1.38363193899236e-11,1.11898346799125e-11,"66977/12235/12236/107995/52276/18817/67177/11920/22137/67629/70385/11799/20877/268697/67052/16319",16
"GO:0071174","GO:0071174","mitotic spindle checkpoint signaling","16/732","50/28564",6.4426320884345e-14,1.38363193899236e-11,1.11898346799125e-11,"66977/12235/12236/107995/52276/18817/67177/11920/22137/67629/70385/11799/20877/268697/67052/16319",16
"GO:2000816","GO:2000816","negative regulation of mitotic sister chromatid separation","16/732","50/28564",6.4426320884345e-14,1.38363193899236e-11,1.11898346799125e-11,"66977/12235/12236/107995/52276/18817/67177/11920/22137/67629/70385/11799/20877/268697/67052/16319",16
"GO:0051310","GO:0051310","metaphase plate congression","18/732","69/28564",9.39584082752491e-14,1.92614736964261e-11,1.55773150561597e-11,"108000/66977/56742/73804/52276/14579/110033/54204/67177/70385/11799/54141/20877/268697/67052/100502766/16319/67849",18
"GO:0050000","GO:0050000","chromosome localization","20/732","90/28564",1.09675414837575e-13,2.15059183007592e-11,1.73924628106268e-11,"108000/66977/16905/56742/73804/52276/14579/110033/54204/67177/11920/70385/11799/54141/20877/268697/67052/100502766/16319/67849",20
"GO:1902100","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","16/732","52/28564",1.29287565775818e-13,2.33234768659576e-11,1.88623753858194e-11,"66977/12235/12236/107995/52276/18817/67177/11920/22137/67629/70385/11799/20877/268697/67052/16319",16
