"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0061448","GO:0061448","connective tissue development","16/215","318/28905",2.4789236339548e-09,7.00791711319022e-06,5.68586799830265e-06,"17978/212712/93691/15434/18128/55994/16846/15400/14219/234356/18121/22433/18763/12393/16948/210719",16
"GO:0006766","GO:0006766","vitamin metabolic process","9/215","99/28905",5.71677129604623e-08,8.08065622696135e-05,6.55623402846565e-05,"80721/94284/14725/65969/13081/268756/14629/237636/105387",9
"GO:0048704","GO:0048704","embryonic skeletal system morphogenesis","9/215","110/28905",1.42900852005096e-07,0.000134660236206135,0.000109256475971615,"212712/226844/111970/15434/15394/15399/15400/18121/12393",9
"GO:0048705","GO:0048705","skeletal system morphogenesis","12/215","265/28905",7.90036652903499e-07,0.000558358404439548,0.000453023649125454,"212712/226844/111970/15434/15394/15399/15400/14219/234356/18121/18763/12393",12
"GO:0051216","GO:0051216","cartilage development","11/215","224/28905",1.04154896672505e-06,0.000588891785786345,0.000477796883893451,"212712/15434/55994/16846/15400/14219/234356/18121/18763/12393/210719",11
"GO:0048706","GO:0048706","embryonic skeletal system development","9/215","148/28905",1.76740613893264e-06,0.00081549964576265,0.000661654991572548,"212712/226844/111970/15434/15394/15399/15400/18121/12393",9
"GO:0010288","GO:0010288","response to lead ion","4/215","13/28905",2.01927750984738e-06,0.00081549964576265,0.000661654991572548,"20701/20700/20702/20704",4
"GO:0048732","GO:0048732","gland development","15/215","491/28905",4.62743069372741e-06,0.00163521832139592,0.00132673308968842,"15434/18128/214133/13123/78894/15400/216233/94109/384783/15368/20897/18121/22433/239611/18763",15
"GO:0042886","GO:0042886","amide transport","13/215","386/28905",7.21247286947682e-06,0.00206594919584828,0.00167620624346188,"93691/14725/99571/14161/18669/78894/16846/11865/12876/384783/17918/15357/116838",13
"GO:0006869","GO:0006869","lipid transport","14/215","447/28905",7.30792074937489e-06,0.00206594919584828,0.00167620624346188,"58207/241877/231287/75750/18669/16846/12623/384783/20897/11818/217258/76184/237636/108114",14
"GO:0015711","GO:0015711","organic anion transport","14/215","451/28905",8.08086506968049e-06,0.00207678232290789,0.00168499569251998,"71781/14725/72401/241877/75750/18669/16846/103098/12623/384783/108114/207151/236149/171405",14
"GO:0048562","GO:0048562","embryonic organ morphogenesis","12/215","335/28905",8.81760749421495e-06,0.00207728136551214,0.00168540059034161,"212712/226844/111970/15434/18128/100169/15394/15399/15400/20897/18121/12393",12
"GO:0008202","GO:0008202","steroid metabolic process","12/215","360/28905",1.80384125702835e-05,0.0039226609489378,0.00318264785349374,"14725/65969/13081/15496/13123/16846/13094/12623/14377/237636/105387/15357",12
"GO:0003231","GO:0003231","cardiac ventricle development","8/215","153/28905",2.02031110895905e-05,0.00407958536073375,0.00330996835069307,"17248/14725/18128/12876/58198/20897/18121/381157",8
"GO:0048545","GO:0048545","response to steroid hormone","10/215","255/28905",2.31691065897281e-05,0.00410649220253749,0.00333179919547565,"17978/74229/94284/15496/13123/11865/238803/105387/381022/16948",10
"GO:0051180","GO:0051180","vitamin transport","5/215","46/28905",2.32415547366819e-05,0.00410649220253749,0.00333179919547565,"80721/14725/65969/20897/237636",5
"GO:0006767","GO:0006767","water-soluble vitamin metabolic process","5/215","49/28905",3.17516509752585e-05,0.00508015978093958,0.00412178361389881,"80721/94284/65969/268756/14629",5
"GO:0030072","GO:0030072","peptide hormone secretion","11/215","322/28905",3.23462596593252e-05,0.00508015978093958,0.00412178361389881,"93691/99571/14161/78894/16846/11865/12876/384783/17918/15357/116838",11
"GO:0007517","GO:0007517","muscle organ development","12/215","385/28905",3.47611641775067e-05,0.00517209532262166,0.00419637544281369,"14725/18128/20482/11865/22634/20897/214812/18121/22433/15357/16948/210719",12
"GO:0060840","GO:0060840","artery development","7/215","123/28905",3.91041769725255e-05,0.00544003905380244,0.00441377137684938,"14725/18128/16846/15394/20897/18121/16948",7
"GO:0002790","GO:0002790","peptide secretion","11/215","330/28905",4.04106190767072e-05,0.00544003905380244,0.00441377137684938,"93691/99571/14161/78894/16846/11865/12876/384783/17918/15357/116838",11
"GO:0003281","GO:0003281","ventricular septum development","6/215","88/28905",5.15104651623291e-05,0.00661909477335928,0.00537039730089546,"17248/14725/18128/58198/20897/18121",6
"GO:0021545","GO:0021545","cranial nerve development","5/215","57/28905",6.64361451740883e-05,0.00807170723683102,0.00654897327241256,"15434/15394/15400/78286/58198",5
"GO:0015833","GO:0015833","peptide transport","11/215","351/28905",7.02838326431565e-05,0.00807170723683102,0.00654897327241256,"93691/99571/14161/78894/16846/11865/12876/384783/17918/15357/116838",11
"GO:0050679","GO:0050679","positive regulation of epithelial cell proliferation","9/215","235/28905",7.13805026249648e-05,0.00807170723683102,0.00654897327241256,"18128/13123/246691/384783/15368/18121/22433/12393/240185",9
"GO:0019852","GO:0019852","L-ascorbic acid metabolic process","3/215","12/28905",8.49665653219746e-05,0.00889631408019341,0.00721801738154318,"94284/268756/14629",3
"GO:1901334","GO:1901334","lactone metabolic process","3/215","12/28905",8.49665653219746e-05,0.00889631408019341,0.00721801738154318,"94284/268756/14629",3
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","12/215","426/28905",9.133008737286e-05,0.00922107703582412,0.00748151354832564,"18128/13123/246691/16846/384783/15368/11818/18121/22433/268857/12393/240185",12
"GO:0042632","GO:0042632","cholesterol homeostasis","6/215","102/28905",0.000117415715509274,0.0113001288461541,0.00916835058766767,"13123/12623/14377/22433/237636/218203",6
"GO:0046942","GO:0046942","carboxylic acid transport","11/215","374/28905",0.000123024961389625,0.0113001288461541,0.00916835058766767,"71781/14725/72401/241877/75750/18669/16846/103098/12623/384783/108114",11
"GO:0055092","GO:0055092","sterol homeostasis","6/215","103/28905",0.000123913687382659,0.0113001288461541,0.00916835058766767,"13123/12623/14377/22433/237636/218203",6
"GO:0015849","GO:0015849","organic acid transport","11/215","376/28905",0.000128891935900854,0.0113867969622411,0.0092386686949987,"71781/14725/72401/241877/75750/18669/16846/103098/12623/384783/108114",11
"GO:0003205","GO:0003205","cardiac chamber development","8/215","200/28905",0.000133732202721655,0.0114503907398503,0.00929026545608463,"17248/14725/18128/12876/58198/20897/18121/381157",8
"GO:0042364","GO:0042364","water-soluble vitamin biosynthetic process","3/215","14/28905",0.000139043545003693,0.0114503907398503,0.00929026545608463,"80721/94284/268756",3
"GO:0015850","GO:0015850","organic hydroxy compound transport","10/215","317/28905",0.000142135607729301,0.0114503907398503,0.00929026545608463,"80721/241877/75750/16846/12623/20897/17918/217258/22433/237636",10
"GO:0010038","GO:0010038","response to metal ion","10/215","318/28905",0.000145813253142769,0.0114503907398503,0.00929026545608463,"99571/14161/12870/215493/15368/105387/20701/20700/20702/20704",10
"GO:0097305","GO:0097305","response to alcohol","9/215","264/28905",0.000172052141416151,0.0128592706414376,0.0104333590481606,"15496/78894/15394/12623/105387/20701/20700/20702/20704",9
"GO:0072378","GO:0072378","blood coagulation, fibrin clot formation","3/215","15/28905",0.00017285188693832,0.0128592706414376,0.0104333590481606,"99571/14161/11818",3
"GO:1901652","GO:1901652","response to peptide","12/215","467/28905",0.00021402491961995,0.0152972294531319,0.0124113949987431,"17978/14130/18128/16846/216233/384783/17918/22433/20701/20700/20702/20704",12
"GO:0061035","GO:0061035","regulation of cartilage development","5/215","73/28905",0.000216444703970738,0.0152972294531319,0.0124113949987431,"16846/14219/18121/12393/210719",5
"GO:0048638","GO:0048638","regulation of developmental growth","11/215","404/28905",0.000239654861794933,0.0164751092649954,0.0133670668510137,"226844/18128/360213/16846/232854/216233/18121/107585/238161/20403/116838",11
"GO:0046879","GO:0046879","hormone secretion","11/215","405/28905",0.000244766391627099,0.0164751092649954,0.0133670668510137,"93691/99571/14161/78894/16846/11865/12876/384783/17918/15357/116838",11
"GO:0009914","GO:0009914","hormone transport","11/215","413/28905",0.000289079358663092,0.0190052871381526,0.0154199246640606,"93691/99571/14161/78894/16846/11865/12876/384783/17918/15357/116838",11
"GO:0002076","GO:0002076","osteoblast development","3/215","18/28905",0.000304928297492029,0.0195916431138629,0.0158956641204577,"212712/15399/12393",3
"GO:0009410","GO:0009410","response to xenobiotic stimulus","10/215","350/28905",0.000314026706025581,0.0197278555096515,0.016006179939877,"94284/55990/14262/18669/78894/13094/384724/14629/320472/22433",10
"GO:0033143","GO:0033143","regulation of intracellular steroid hormone receptor signaling pathway","5/215","80/28905",0.000332153349898681,0.0204129895687733,0.0165620629160006,"17978/13123/11865/238803/381022",5
"GO:0001935","GO:0001935","endothelial cell proliferation","7/215","175/28905",0.000351394892636007,0.021136028967702,0.0171487003595489,"246691/16846/15368/78943/11818/22433/240185",7
