"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006119","GO:0006119","oxidative phosphorylation","54/1269","145/28564",1.65341970320966e-35,8.6804534418507e-32,7.37425187631507e-32,"67273/12859/67126/84682/68375/54405/104130/66377/66576/67680/595136/230075/57423/11958/12861/68202/68198/56312/66091/12862/12865/12534/103172/66043/75406/66594/66916/102060/12857/67184/66148/12866/22272/66152/71679/407785/268697/17993/102631912/66218/12864/28080/69875/68342/67267/78330/17991/11474/14297/12868/107197/67264/225887/17995",54
"GO:0009060","GO:0009060","aerobic respiration","57/1269","193/28564",3.35430868177546e-31,8.80506028966058e-28,7.48010836035927e-28,"67273/12859/67126/84682/68375/54405/104130/66377/66576/67680/595136/230075/57423/11958/12861/17448/68202/68198/56312/66091/12862/12865/12534/14533/103172/66043/75406/66594/66916/102060/12857/67184/66148/12866/22272/66152/71679/407785/268697/17993/102631912/66218/12864/28080/69875/68342/67267/78330/17991/11474/14297/12868/107197/67264/225887/17995/56327",57
"GO:0045333","GO:0045333","cellular respiration","59/1269","252/28564",2.47622427751089e-26,4.33339248564406e-23,3.68132009256619e-23,"67273/12859/67126/84682/67885/68375/54405/104130/66377/66576/67680/595136/230075/57423/11958/12861/17448/68202/68198/110826/56312/66091/12862/12865/12534/14533/103172/66043/75406/66594/66916/102060/12857/67184/66148/12866/22272/66152/71679/407785/268697/17993/102631912/66218/12864/28080/69875/68342/67267/78330/17991/11474/14297/12868/107197/67264/225887/17995/56327",59
"GO:0015986","GO:0015986","proton motive force-driven ATP synthesis","32/1269","70/28564",6.19347875247894e-25,6.94916933978388e-22,5.90348481055926e-22,"67273/67126/68375/54405/104130/66377/67680/595136/230075/57423/11958/68202/68198/66091/66043/75406/66916/67184/71679/11951/407785/17993/102631912/66218/28080/69875/68342/78330/17991/67264/225887/17995",32
"GO:0042776","GO:0042776","proton motive force-driven mitochondrial ATP synthesis","31/1269","65/28564",6.61825651407989e-25,6.94916933978388e-22,5.90348481055926e-22,"67273/67126/68375/54405/104130/66377/67680/595136/230075/57423/11958/68202/68198/66091/66043/75406/66916/67184/71679/407785/17993/102631912/66218/28080/69875/68342/78330/17991/67264/225887/17995",31
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds","67/1269","347/28564",1.42233212217228e-24,1.24454060690074e-21,1.05726687748139e-21,"67273/12859/67126/84682/67885/68375/54405/104130/66377/66576/67680/595136/230075/57423/11958/12861/16548/17448/68202/16846/68198/110826/56312/66091/12862/12865/12534/14533/103172/66043/75406/66594/66916/102060/12857/67184/17751/384783/66148/12866/69183/14377/22272/66152/71679/407785/268697/17993/102631912/18976/66218/58200/12864/28080/69875/68342/67267/78330/17991/11474/14297/12868/107197/67264/225887/17995/56327",67
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","79/1269","478/28564",3.54963449749098e-24,2.66222587311823e-21,2.26162426554425e-21,"15483/67273/12859/67126/84682/67885/68375/18639/54405/104130/66377/66576/74246/67680/64059/595136/230075/57423/11958/12861/16548/17448/68202/16846/68198/110826/56312/66091/12862/12865/21351/12534/14533/103172/66043/75406/66594/66916/102060/12857/67184/17751/384783/66171/21881/66148/12866/18746/17918/14635/69183/14377/11676/22272/66152/56012/71679/407785/268697/17993/102631912/18976/66218/58200/12864/28080/69875/68342/67267/78330/17991/11474/14297/12868/107197/67264/225887/17995/56327",79
"GO:0006754","GO:0006754","ATP biosynthetic process","35/1269","104/28564",8.89090743280724e-22,5.83465800277975e-19,4.95668089379004e-19,"67273/67126/68375/54405/104130/66377/67680/595136/230075/57423/11958/68202/68198/66091/66043/75406/66916/67184/18746/71679/11951/407785/17993/102631912/66218/28080/83433/69875/68342/78330/17991/107197/67264/225887/17995",35
"GO:0009206","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","36/1269","115/28564",3.77599519970626e-21,2.20266386649532e-18,1.87121539896555e-18,"67273/67126/68375/54405/104130/66377/67680/595136/230075/57423/11958/68202/68198/66091/66043/75406/66916/67184/18746/18103/71679/11951/407785/17993/102631912/66218/28080/83433/69875/68342/78330/17991/107197/67264/225887/17995",36
"GO:0009142","GO:0009142","nucleoside triphosphate biosynthetic process","38/1269","130/28564",4.5596336509876e-21,2.39380766676849e-18,2.03359660834047e-18,"67273/67126/11636/68375/54405/104130/66377/67680/595136/230075/57423/11958/68202/68198/66091/66043/75406/66916/67184/18746/18103/71679/11951/407785/17993/102631912/78801/66218/28080/83433/69875/68342/78330/17991/107197/67264/225887/17995",38
"GO:0009145","GO:0009145","purine nucleoside triphosphate biosynthetic process","36/1269","116/28564",5.2449683561736e-21,2.50328035181012e-18,2.12659626077584e-18,"67273/67126/68375/54405/104130/66377/67680/595136/230075/57423/11958/68202/68198/66091/66043/75406/66916/67184/18746/18103/71679/11951/407785/17993/102631912/66218/28080/83433/69875/68342/78330/17991/107197/67264/225887/17995",36
"GO:0009201","GO:0009201","ribonucleoside triphosphate biosynthetic process","36/1269","120/28564",1.88043083712627e-20,8.22688491242745e-18,6.98893461131932e-18,"67273/67126/68375/54405/104130/66377/67680/595136/230075/57423/11958/68202/68198/66091/66043/75406/66916/67184/18746/18103/71679/11951/407785/17993/102631912/66218/28080/83433/69875/68342/78330/17991/107197/67264/225887/17995",36
"GO:0046034","GO:0046034","ATP metabolic process","49/1269","232/28564",4.86862205670795e-20,1.96617429213206e-17,1.67031187483981e-17,"67273/98660/67126/11636/68375/18639/54405/104130/66377/11983/74246/67680/595136/230075/57423/11958/16548/66437/68202/68198/56312/66091/66043/75406/66916/67184/18746/14635/11676/56012/71679/11951/407785/17993/102631912/66218/12257/28080/83433/69875/68342/78330/17991/11474/107197/67264/225887/17995/56327",49
"GO:0033108","GO:0033108","mitochondrial respiratory chain complex assembly","32/1269","100/28564",2.80725553888526e-19,1.05272082708197e-16,8.94311407387732e-17,"67273/68375/54405/104130/66377/595136/230075/68033/68202/68198/66091/68332/75406/66916/67184/100503890/66487/208501/407785/75597/17993/102631912/66218/66379/69875/68342/67267/17991/66836/107197/67264/225887",32
"GO:0009205","GO:0009205","purine ribonucleoside triphosphate metabolic process","50/1269","256/28564",6.94081499642344e-19,2.4292852487482e-16,2.06373565893657e-16,"67273/98660/67126/11636/68375/18639/54405/104130/66377/11983/74246/67680/595136/230075/57423/11958/16548/66437/68202/68198/56312/66091/66043/75406/66916/67184/18746/14635/11676/56012/18103/71679/11951/407785/17993/102631912/66218/12257/28080/83433/69875/68342/78330/17991/11474/107197/67264/225887/17995/56327",50
"GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport","28/1269","77/28564",9.78851120803787e-19,3.21185524013743e-16,2.72854749924056e-16,"67273/12859/84682/68375/66576/67680/230075/12861/12862/12865/12534/75406/66594/12857/66148/12866/22272/66152/407785/268697/66218/12864/78330/12868/107197/67264/225887/17995",28
"GO:0009141","GO:0009141","nucleoside triphosphate metabolic process","52/1269","281/28564",1.63382640690548e-18,5.04564037426692e-16,4.28639163223437e-16,"67273/98660/67126/11636/68375/18639/54405/104130/66377/11983/74246/67680/595136/230075/57423/11958/16548/66437/68202/68198/56312/66422/66091/66043/75406/66916/67184/18746/14635/11676/56012/18103/71679/11951/407785/17993/102631912/78801/66218/12257/28080/83433/69875/68342/78330/17991/11474/107197/67264/225887/17995/56327",52
"GO:0009144","GO:0009144","purine nucleoside triphosphate metabolic process","50/1269","262/28564",1.9375783249666e-18,5.65127011448592e-16,4.80088851630613e-16,"67273/98660/67126/11636/68375/18639/54405/104130/66377/11983/74246/67680/595136/230075/57423/11958/16548/66437/68202/68198/56312/66091/66043/75406/66916/67184/18746/14635/11676/56012/18103/71679/11951/407785/17993/102631912/66218/12257/28080/83433/69875/68342/78330/17991/11474/107197/67264/225887/17995/56327",50
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport","28/1269","79/28564",2.17110477324108e-18,5.99910529448194e-16,5.09638278350276e-16,"67273/12859/84682/68375/66576/67680/230075/12861/12862/12865/12534/75406/66594/12857/66148/12866/22272/66152/407785/268697/66218/12864/78330/12868/107197/67264/225887/17995",28
"GO:0009199","GO:0009199","ribonucleoside triphosphate metabolic process","50/1269","263/28564",2.291841350019e-18,6.01608354379987e-16,5.11080621054237e-16,"67273/98660/67126/11636/68375/18639/54405/104130/66377/11983/74246/67680/595136/230075/57423/11958/16548/66437/68202/68198/56312/66091/66043/75406/66916/67184/18746/14635/11676/56012/18103/71679/11951/407785/17993/102631912/66218/12257/28080/83433/69875/68342/78330/17991/11474/107197/67264/225887/17995/56327",50
"GO:0022904","GO:0022904","respiratory electron transport chain","31/1269","103/28564",7.50134351539104e-18,1.87533587884776e-15,1.59314247993543e-15,"67273/12859/84682/68375/66576/67680/230075/12861/68202/110826/12862/12865/12534/75406/66594/12857/66148/12866/22272/66152/407785/268697/17993/66218/12864/78330/12868/107197/67264/225887/17995",31
"GO:0019646","GO:0019646","aerobic electron transport chain","25/1269","64/28564",9.3485721520382e-18,2.23090926355457e-15,1.89521053627684e-15,"67273/12859/84682/68375/66576/67680/230075/12861/12862/12865/75406/66594/12857/66148/12866/22272/66152/407785/66218/12864/12868/107197/67264/225887/17995",25
"GO:0010257","GO:0010257","NADH dehydrogenase complex assembly","24/1269","62/28564",5.41700021360072e-17,1.18496879672516e-14,1.0066592063608e-14,"67273/68375/54405/104130/66377/595136/230075/68202/68198/66091/75406/66916/67184/208501/407785/75597/17993/102631912/66218/69875/68342/17991/67264/225887",24
"GO:0032981","GO:0032981","mitochondrial respiratory chain complex I assembly","24/1269","62/28564",5.41700021360072e-17,1.18496879672516e-14,1.0066592063608e-14,"67273/68375/54405/104130/66377/595136/230075/68202/68198/66091/75406/66916/67184/208501/407785/75597/17993/102631912/66218/69875/68342/17991/67264/225887",24
"GO:0022900","GO:0022900","electron transport chain","31/1269","114/28564",1.86547577137846e-16,3.91749911989478e-14,3.32800877613918e-14,"67273/12859/84682/68375/66576/67680/230075/12861/68202/110826/12862/12865/12534/75406/66594/12857/66148/12866/22272/66152/407785/268697/17993/66218/12864/78330/12868/107197/67264/225887/17995",31
"GO:0009152","GO:0009152","purine ribonucleotide biosynthetic process","38/1269","199/28564",2.35091190696603e-14,4.74703365829679e-12,4.03271811733403e-12,"67273/67126/11636/68375/54405/104130/66377/67680/595136/230075/57423/11958/68202/68198/66091/66043/75406/66916/67184/18746/18103/71679/11951/407785/17993/102631912/66218/28080/83433/69875/68342/78330/17991/107197/67264/73707/225887/17995",38
"GO:0032543","GO:0032543","mitochondrial translation","30/1269","132/28564",1.06589871048895e-13,2.07258082595074e-11,1.76070675880768e-11,"107733/99045/66292/75593/64658/101122/24030/67308/67994/52443/66047/102060/234384/94065/66242/66121/68836/56282/216767/64656/64660/68572/121022/68611/67267/68463/68565/66419/353242/94063",30
"GO:0019693","GO:0019693","ribose phosphate metabolic process","60/1269","464/28564",1.2610145948433e-13,2.36440236533118e-11,2.00861610464325e-11,"67273/98660/67126/11636/68375/18639/54405/104130/66377/68603/11983/74246/67680/64059/595136/230075/57423/11958/16548/66437/68202/68198/56312/66091/66043/75406/66916/67184/21881/18746/14635/11676/56012/18103/71679/50773/11951/407785/17993/15357/102631912/66174/66218/12257/64705/28080/83433/69875/68342/78330/17991/52538/11474/107197/67264/14544/73707/225887/17995/56327",60
