"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","GO:0007059","chromosome segregation","49/404","419/28905",1.99785224691178e-30,7.1722895664133e-27,5.47411515653828e-27,"108000/66977/12316/72119/215387/68612/12235/20878/12236/51944/16571/67037/56742/73804/107995/52276/21335/54392/110033/54204/233406/17345/18817/12534/320394/67177/218977/108912/56739/22137/67629/12442/21973/70385/11799/54141/20877/26886/268697/66570/26934/332110/18140/67052/214901/100502766/16319/67849/16551",49
"GO:0098813","GO:0098813","nuclear chromosome segregation","42/404","317/28905",2.21636741035202e-28,3.97837950158188e-25,3.03642335218227e-25,"108000/66977/12316/72119/215387/68612/12235/20878/12236/51944/16571/67037/56742/73804/107995/52276/21335/54392/110033/54204/233406/18817/12534/67177/56739/22137/67629/12442/21973/70385/11799/54141/20877/268697/26934/332110/18140/67052/100502766/16319/67849/16551",42
"GO:0000819","GO:0000819","sister chromatid segregation","34/404","222/28905",2.85349203881379e-25,3.41467880644717e-22,2.60618939544993e-22,"66977/72119/215387/68612/12235/12236/51944/56742/73804/107995/52276/21335/54392/110033/233406/18817/12534/67177/22137/67629/21973/70385/11799/54141/20877/268697/26934/332110/18140/67052/100502766/16319/67849/16551",34
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","31/404","181/28905",1.17158545522234e-24,1.05149794606205e-21,8.02536036827301e-22,"66977/72119/215387/68612/12235/12236/51944/56742/73804/107995/52276/54392/110033/233406/18817/12534/67177/22137/67629/70385/11799/54141/20877/268697/26934/18140/67052/100502766/16319/67849/16551",31
"GO:0000280","GO:0000280","nuclear division","43/404","454/28905",4.28623981115498e-23,3.07752018440927e-20,2.34885941651293e-20,"66977/12316/72119/215387/68612/12235/20878/12236/51944/56742/73804/107995/52276/192199/54392/110033/54204/233406/17345/18817/12534/67177/234396/108912/56739/22137/67629/12442/21973/70385/11799/54141/20877/268697/26934/332110/18140/67052/214901/100502766/16319/67849/16551",43
"GO:0140014","GO:0140014","mitotic nuclear division","34/404","270/28905",1.98795228473601e-22,1.18945811703371e-19,9.07831543362777e-20,"66977/72119/215387/68612/12235/20878/12236/51944/56742/73804/107995/52276/54392/110033/233406/17345/18817/12534/67177/108912/22137/67629/70385/11799/54141/20877/268697/26934/18140/67052/100502766/16319/67849/16551",34
"GO:0007051","GO:0007051","spindle organization","29/404","195/28905",2.37873065109283e-21,1.21994900534618e-18,9.31103140570623e-19,"66977/12316/72119/20878/51944/16571/56742/69885/107995/52276/21335/54204/233406/233064/18817/218977/12442/11799/54141/20877/26886/268697/26934/332110/18140/67052/100502766/16319/16551",29
"GO:0051983","GO:0051983","regulation of chromosome segregation","24/404","130/28905",3.66834733659568e-20,1.64617086729731e-17,1.25640896278402e-17,"66977/215387/68612/12235/12236/73804/107995/52276/21335/54392/17345/18817/12534/108912/22137/67629/70385/11799/20877/268697/332110/67052/214901/16319",24
"GO:0051310","GO:0051310","metaphase chromosome alignment","21/404","98/28905",3.19973424303839e-19,1.27633843694532e-16,9.74141313991689e-17,"108000/66977/51944/67037/56742/73804/52276/110033/54204/67177/67629/70385/11799/54141/20877/268697/26934/67052/100502766/16319/67849",21
"GO:1902850","GO:1902850","microtubule cytoskeleton organization involved in mitosis","25/404","161/28905",4.85326003049399e-19,1.74232035094734e-16,1.32979324835535e-16,"66977/72119/72080/20878/16571/56742/107995/52276/21335/233406/233064/18817/12534/218977/70385/11799/20877/26886/268697/26934/18140/67052/100502766/16319/16551",25
"GO:0050000","GO:0050000","chromosome localization","22/404","119/28905",1.33466386646095e-18,4.35585752781345e-16,3.32452635827545e-16,"108000/66977/51944/67037/16905/56742/73804/52276/110033/54204/67177/67629/70385/11799/54141/20877/268697/26934/67052/100502766/16319/67849",22
"GO:0051304","GO:0051304","chromosome separation","19/404","83/28905",4.28595023134773e-18,1.28221344421153e-15,9.78625302824397e-16,"66977/215387/68612/12235/12236/107995/52276/54392/18817/22137/67629/21973/70385/11799/20877/268697/332110/67052/16319",19
"GO:0007052","GO:0007052","mitotic spindle organization","22/404","128/28905",6.90828263782339e-18,1.85255433431794e-15,1.41392726351843e-15,"66977/72119/20878/16571/56742/107995/52276/21335/233406/233064/18817/218977/11799/20877/26886/268697/26934/18140/67052/100502766/16319/16551",22
"GO:0051303","GO:0051303","establishment of chromosome localization","21/404","113/28905",7.30156711756392e-18,1.85255433431794e-15,1.41392726351843e-15,"108000/66977/51944/67037/56742/73804/52276/110033/54204/67177/67629/70385/11799/54141/20877/268697/26934/67052/100502766/16319/67849",21
"GO:1905818","GO:1905818","regulation of chromosome separation","18/404","73/28905",7.74047771999141e-18,1.85255433431794e-15,1.41392726351843e-15,"66977/215387/68612/12235/12236/107995/52276/54392/18817/22137/67629/70385/11799/20877/268697/332110/67052/16319",18
"GO:0140694","GO:0140694","non-membrane-bounded organelle assembly","34/404","414/28905",1.43999071978834e-16,3.2309791775251e-14,2.46598410763754e-14,"21956/12316/12372/72119/98932/415115/20878/227753/107995/52276/320502/12391/233199/54204/233406/233064/18817/320394/218977/17888/140781/12442/11799/54141/20877/26886/26934/16691/332110/18140/67052/100502766/16319/16551",34
"GO:0031577","GO:0031577","spindle checkpoint signaling","15/404","55/28905",8.38274238447547e-16,1.67189139779261e-13,1.27603967408127e-13,"66977/12235/20878/12236/107995/52276/18817/22137/67629/70385/11799/20877/268697/67052/16319",15
"GO:0051985","GO:0051985","negative regulation of chromosome segregation","15/404","55/28905",8.38274238447547e-16,1.67189139779261e-13,1.27603967408127e-13,"66977/12235/12236/107995/52276/18817/22137/67629/70385/11799/20877/268697/67052/214901/16319",15
"GO:0033047","GO:0033047","regulation of mitotic sister chromatid segregation","15/404","58/28905",2.01760915965e-15,3.81221941218078e-13,2.90960478812684e-13,"66977/12235/12236/107995/52276/18817/12534/22137/67629/70385/11799/20877/268697/67052/16319",15
"GO:0010965","GO:0010965","regulation of mitotic sister chromatid separation","15/404","60/28905",3.51681984184218e-15,6.13262333169118e-13,4.68060945092864e-13,"66977/68612/12235/12236/107995/52276/18817/22137/67629/70385/11799/20877/268697/67052/16319",15
"GO:0007094","GO:0007094","mitotic spindle assembly checkpoint signaling","14/404","49/28905",3.75815357373833e-15,6.13262333169118e-13,4.68060945092864e-13,"66977/12235/12236/107995/52276/18817/22137/67629/70385/11799/20877/268697/67052/16319",14
"GO:0071173","GO:0071173","spindle assembly checkpoint signaling","14/404","49/28905",3.75815357373833e-15,6.13262333169118e-13,4.68060945092864e-13,"66977/12235/12236/107995/52276/18817/22137/67629/70385/11799/20877/268697/67052/16319",14
"GO:0008608","GO:0008608","attachment of spindle microtubules to kinetochore","14/404","50/28905",5.15395485716508e-15,8.04465127705332e-13,6.13992882984014e-13,"66977/51944/67037/73804/52276/67177/67629/11799/54141/20877/268697/26934/67052/16319",14
"GO:0033046","GO:0033046","negative regulation of sister chromatid segregation","14/404","51/28905",7.01467895916369e-15,8.99382052264201e-13,6.86436441003875e-13,"66977/12235/12236/107995/52276/18817/22137/67629/70385/11799/20877/268697/67052/16319",14
"GO:0033048","GO:0033048","negative regulation of mitotic sister chromatid segregation","14/404","51/28905",7.01467895916369e-15,8.99382052264201e-13,6.86436441003875e-13,"66977/12235/12236/107995/52276/18817/22137/67629/70385/11799/20877/268697/67052/16319",14
"GO:0045841","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","14/404","51/28905",7.01467895916369e-15,8.99382052264201e-13,6.86436441003875e-13,"66977/12235/12236/107995/52276/18817/22137/67629/70385/11799/20877/268697/67052/16319",14
"GO:0071174","GO:0071174","mitotic spindle checkpoint signaling","14/404","51/28905",7.01467895916369e-15,8.99382052264201e-13,6.86436441003875e-13,"66977/12235/12236/107995/52276/18817/22137/67629/70385/11799/20877/268697/67052/16319",14
"GO:2000816","GO:2000816","negative regulation of mitotic sister chromatid separation","14/404","51/28905",7.01467895916369e-15,8.99382052264201e-13,6.86436441003875e-13,"66977/12235/12236/107995/52276/18817/22137/67629/70385/11799/20877/268697/67052/16319",14
"GO:0051306","GO:0051306","mitotic sister chromatid separation","15/404","63/28905",7.77282078621577e-15,9.62221607672918e-13,7.34397550145904e-13,"66977/68612/12235/12236/107995/52276/18817/22137/67629/70385/11799/20877/268697/67052/16319",15
"GO:0033045","GO:0033045","regulation of sister chromatid segregation","18/404","106/28905",8.92462995206337e-15,1.06798071759692e-12,8.15116202288455e-13,"66977/68612/12235/12236/107995/52276/21335/18817/12534/22137/67629/70385/11799/20877/268697/332110/67052/16319",18
"GO:1902100","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","14/404","53/28905",1.27185249473959e-14,1.42685951753598e-12,1.08902369862078e-12,"66977/12235/12236/107995/52276/18817/22137/67629/70385/11799/20877/268697/67052/16319",14
"GO:1905819","GO:1905819","negative regulation of chromosome separation","14/404","53/28905",1.27185249473959e-14,1.42685951753598e-12,1.08902369862078e-12,"66977/12235/12236/107995/52276/18817/22137/67629/70385/11799/20877/268697/67052/16319",14
"GO:0051225","GO:0051225","spindle assembly","19/404","125/28905",1.32565909436704e-14,1.44215640872051e-12,1.10069876320173e-12,"12316/72119/20878/107995/52276/54204/233406/18817/12442/11799/54141/20877/26934/332110/18140/67052/100502766/16319/16551",19
"GO:0044784","GO:0044784","metaphase/anaphase transition of cell cycle","17/404","98/28905",3.45202009250413e-14,3.64492709767348e-12,2.78192207454744e-12,"66977/68612/12235/12236/107995/52276/21335/18817/22137/67629/70385/11799/20877/268697/332110/67052/16319",17
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","32/404","442/28905",3.96939967890916e-14,4.07146995636682e-12,3.10747289148888e-12,"108000/66977/68612/12235/12236/12428/18008/404710/107995/52276/269582/21335/18973/107976/14235/18817/12534/22137/67629/12442/118454/70385/11799/20877/268697/20135/12449/106795/67052/12532/16319/67849",32
"GO:0007080","GO:0007080","mitotic metaphase chromosome alignment","14/404","59/28905",6.52088965466528e-14,6.50277607229121e-12,4.96312157049524e-12,"66977/56742/73804/52276/110033/67177/70385/11799/20877/268697/67052/100502766/16319/67849",14
"GO:0045839","GO:0045839","negative regulation of mitotic nuclear division","14/404","61/28905",1.07629839331566e-13,1.04430033297384e-11,7.97042593968892e-12,"66977/12235/12236/107995/52276/18817/22137/67629/70385/11799/20877/268697/67052/16319",14
"GO:1902099","GO:1902099","regulation of metaphase/anaphase transition of cell cycle","16/404","93/28905",2.25517514339749e-13,2.13054704336763e-11,1.62609997181819e-11,"66977/68612/12235/12236/107995/52276/18817/22137/67629/70385/11799/20877/268697/332110/67052/16319",16
"GO:0007091","GO:0007091","metaphase/anaphase transition of mitotic cell cycle","16/404","95/28905",3.18619839656529e-13,2.93293647273575e-11,2.23850861707408e-11,"66977/68612/12235/12236/107995/52276/21335/18817/22137/67629/70385/11799/20877/268697/67052/16319",16
"GO:0051231","GO:0051231","spindle elongation","8/404","12/28905",6.40794187543481e-13,5.75112783320274e-11,4.38944018467285e-11,"16571/52276/233406/11799/20877/26934/16319/16551",8
"GO:0007088","GO:0007088","regulation of mitotic nuclear division","17/404","119/28905",9.42275184339881e-13,8.25065344336628e-11,6.29715610997872e-11,"66977/68612/12235/12236/107995/52276/17345/18817/108912/22137/67629/70385/11799/20877/268697/67052/16319",17
"GO:0051784","GO:0051784","negative regulation of nuclear division","14/404","71/28905",1.01397494104215e-12,8.66707151986027e-11,6.61497937727497e-11,"66977/12235/12236/107995/52276/18817/22137/67629/70385/11799/20877/268697/67052/16319",14
"GO:0008217","GO:0008217","regulation of blood pressure","22/404","226/28905",1.26409004242567e-12,1.0553681982112e-10,8.05489934010773e-11,"98660/50706/100952/12267/12843/71660/109648/13648/16619/16616/16617/18050/18048/16622/16612/11606/17888/17227/54409/18654/223780/11475",22
"GO:0030071","GO:0030071","regulation of mitotic metaphase/anaphase transition","15/404","90/28905",2.06916060917406e-12,1.68824695157611e-10,1.28852274298567e-10,"66977/68612/12235/12236/107995/52276/18817/22137/67629/70385/11799/20877/268697/67052/16319",15
"GO:0033044","GO:0033044","regulation of chromosome organization","22/404","247/28905",7.49324079303916e-12,5.97794098822458e-10,4.56255106065051e-10,"66977/215387/68612/12235/12236/16905/107995/52276/21335/54392/18817/12534/22137/67629/21973/70385/11799/20877/268697/332110/67052/16319",22
"GO:2001251","GO:2001251","negative regulation of chromosome organization","15/404","99/28905",8.67994514794535e-12,6.77413110459213e-10,5.17022819681962e-10,"66977/12235/12236/107995/52276/18817/22137/67629/21973/70385/11799/20877/268697/67052/16319",15
"GO:1903046","GO:1903046","meiotic cell cycle process","21/404","242/28905",3.6958734614535e-11,2.82301823970597e-09,2.15461559242183e-09,"17215/66977/12316/215387/20878/107995/192199/54204/18817/17218/234396/56739/22137/12442/21973/11799/332110/67052/214901/12532/16319",21
"GO:0030198","GO:0030198","extracellular matrix organization","24/404","327/28905",4.97392842719342e-11,3.72008396950508e-09,2.83928414385625e-09,"12825/269120/14268/12831/17395/20319/50706/329941/12819/100952/12843/11803/12833/12822/17390/11606/17387/14230/76293/54409/216725/12842/17880/58859",24
"GO:0007093","GO:0007093","mitotic cell cycle checkpoint signaling","17/404","152/28905",5.2060922469984e-11,3.80441799556182e-09,2.90365050357643e-09,"66977/12235/12236/107995/52276/269582/107976/18817/12534/22137/67629/70385/11799/20877/268697/67052/16319",17
"GO:0045229","GO:0045229","external encapsulating structure organization","24/404","328/28905",5.29863230579641e-11,3.80441799556182e-09,2.90365050357643e-09,"12825/269120/14268/12831/17395/20319/50706/329941/12819/100952/12843/11803/12833/12822/17390/11606/17387/14230/76293/54409/216725/12842/17880/58859",24
"GO:0043062","GO:0043062","extracellular structure organization","24/404","329/28905",5.64317873249508e-11,3.97235522542301e-09,3.03182543667383e-09,"12825/269120/14268/12831/17395/20319/50706/329941/12819/100952/12843/11803/12833/12822/17390/11606/17387/14230/76293/54409/216725/12842/17880/58859",24
"GO:0051783","GO:0051783","regulation of nuclear division","17/404","153/28905",5.78285870883027e-11,3.99239668551936e-09,3.04712170426826e-09,"66977/68612/12235/12236/107995/52276/17345/18817/108912/22137/67629/70385/11799/20877/268697/67052/16319",17
