"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","GO:0007059","chromosome segregation","49/404","419/28905",1.99785224691178e-30,7.1722895664133e-27,5.47411515653828e-27,"108000/66977/12316/72119/215387/68612/12235/20878/12236/51944/16571/67037/56742/73804/107995/52276/21335/54392/110033/54204/233406/17345/18817/12534/320394/67177/218977/108912/56739/22137/67629/12442/21973/70385/11799/54141/20877/26886/268697/66570/26934/332110/18140/67052/214901/100502766/16319/67849/16551",49
"GO:0098813","GO:0098813","nuclear chromosome segregation","42/404","317/28905",2.21636741035202e-28,3.97837950158188e-25,3.03642335218227e-25,"108000/66977/12316/72119/215387/68612/12235/20878/12236/51944/16571/67037/56742/73804/107995/52276/21335/54392/110033/54204/233406/18817/12534/67177/56739/22137/67629/12442/21973/70385/11799/54141/20877/268697/26934/332110/18140/67052/100502766/16319/67849/16551",42
"GO:0000819","GO:0000819","sister chromatid segregation","34/404","222/28905",2.85349203881379e-25,3.41467880644717e-22,2.60618939544993e-22,"66977/72119/215387/68612/12235/12236/51944/56742/73804/107995/52276/21335/54392/110033/233406/18817/12534/67177/22137/67629/21973/70385/11799/54141/20877/268697/26934/332110/18140/67052/100502766/16319/67849/16551",34
"GO:0000280","GO:0000280","nuclear division","43/404","454/28905",4.28623981115498e-23,3.07752018440927e-20,2.34885941651293e-20,"66977/12316/72119/215387/68612/12235/20878/12236/51944/56742/73804/107995/52276/192199/54392/110033/54204/233406/17345/18817/12534/67177/234396/108912/56739/22137/67629/12442/21973/70385/11799/54141/20877/268697/26934/332110/18140/67052/214901/100502766/16319/67849/16551",43
"GO:0007051","GO:0007051","spindle organization","29/404","195/28905",2.37873065109283e-21,1.21994900534618e-18,9.31103140570623e-19,"66977/12316/72119/20878/51944/16571/56742/69885/107995/52276/21335/54204/233406/233064/18817/218977/12442/11799/54141/20877/26886/268697/26934/332110/18140/67052/100502766/16319/16551",29
"GO:0051983","GO:0051983","regulation of chromosome segregation","24/404","130/28905",3.66834733659568e-20,1.64617086729731e-17,1.25640896278402e-17,"66977/215387/68612/12235/12236/73804/107995/52276/21335/54392/17345/18817/12534/108912/22137/67629/70385/11799/20877/268697/332110/67052/214901/16319",24
"GO:0050000","GO:0050000","chromosome localization","22/404","119/28905",1.33466386646095e-18,4.35585752781345e-16,3.32452635827545e-16,"108000/66977/51944/67037/16905/56742/73804/52276/110033/54204/67177/67629/70385/11799/54141/20877/268697/26934/67052/100502766/16319/67849",22
"GO:1905818","GO:1905818","regulation of chromosome separation","18/404","73/28905",7.74047771999141e-18,1.85255433431794e-15,1.41392726351843e-15,"66977/215387/68612/12235/12236/107995/52276/54392/18817/22137/67629/70385/11799/20877/268697/332110/67052/16319",18
"GO:0140694","GO:0140694","non-membrane-bounded organelle assembly","34/404","414/28905",1.43999071978834e-16,3.2309791775251e-14,2.46598410763754e-14,"21956/12316/12372/72119/98932/415115/20878/227753/107995/52276/320502/12391/233199/54204/233406/233064/18817/320394/218977/17888/140781/12442/11799/54141/20877/26886/26934/16691/332110/18140/67052/100502766/16319/16551",34
"GO:0031577","GO:0031577","spindle checkpoint signaling","15/404","55/28905",8.38274238447547e-16,1.67189139779261e-13,1.27603967408127e-13,"66977/12235/20878/12236/107995/52276/18817/22137/67629/70385/11799/20877/268697/67052/16319",15
"GO:0007094","GO:0007094","mitotic spindle assembly checkpoint signaling","14/404","49/28905",3.75815357373833e-15,6.13262333169118e-13,4.68060945092864e-13,"66977/12235/12236/107995/52276/18817/22137/67629/70385/11799/20877/268697/67052/16319",14
"GO:0071174","GO:0071174","mitotic spindle checkpoint signaling","14/404","51/28905",7.01467895916369e-15,8.99382052264201e-13,6.86436441003875e-13,"66977/12235/12236/107995/52276/18817/22137/67629/70385/11799/20877/268697/67052/16319",14
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","32/404","442/28905",3.96939967890916e-14,4.07146995636682e-12,3.10747289148888e-12,"108000/66977/68612/12235/12236/12428/18008/404710/107995/52276/269582/21335/18973/107976/14235/18817/12534/22137/67629/12442/118454/70385/11799/20877/268697/20135/12449/106795/67052/12532/16319/67849",32
"GO:0045839","GO:0045839","negative regulation of mitotic nuclear division","14/404","61/28905",1.07629839331566e-13,1.04430033297384e-11,7.97042593968892e-12,"66977/12235/12236/107995/52276/18817/22137/67629/70385/11799/20877/268697/67052/16319",14
"GO:0051784","GO:0051784","negative regulation of nuclear division","14/404","71/28905",1.01397494104215e-12,8.66707151986027e-11,6.61497937727497e-11,"66977/12235/12236/107995/52276/18817/22137/67629/70385/11799/20877/268697/67052/16319",14
"GO:0008217","GO:0008217","regulation of blood pressure","22/404","226/28905",1.26409004242567e-12,1.0553681982112e-10,8.05489934010773e-11,"98660/50706/100952/12267/12843/71660/109648/13648/16619/16616/16617/18050/18048/16622/16612/11606/17888/17227/54409/18654/223780/11475",22
"GO:0033044","GO:0033044","regulation of chromosome organization","22/404","247/28905",7.49324079303916e-12,5.97794098822458e-10,4.56255106065051e-10,"66977/215387/68612/12235/12236/16905/107995/52276/21335/54392/18817/12534/22137/67629/21973/70385/11799/20877/268697/332110/67052/16319",22
"GO:0030198","GO:0030198","extracellular matrix organization","24/404","327/28905",4.97392842719342e-11,3.72008396950508e-09,2.83928414385625e-09,"12825/269120/14268/12831/17395/20319/50706/329941/12819/100952/12843/11803/12833/12822/17390/11606/17387/14230/76293/54409/216725/12842/17880/58859",24
"GO:0031638","GO:0031638","zymogen activation","13/404","82/28905",1.19589918411726e-10,7.48888705389647e-09,5.71575223612154e-09,"13806/13648/16619/16616/16617/18050/18048/16622/16612/432478/17387/21922/433182",13
"GO:1901991","GO:1901991","negative regulation of mitotic cell cycle phase transition","18/404","183/28905",1.20990375801113e-10,7.48888705389647e-09,5.71575223612154e-09,"66977/12235/12236/107995/52276/269582/107976/18817/12534/22137/67629/118454/70385/11799/20877/268697/67052/16319",18
"GO:0003012","GO:0003012","muscle system process","26/404","449/28905",1.33077435399123e-09,7.23860595580076e-08,5.52472989384236e-08,"17926/21956/12372/98660/227753/66240/16905/13806/22004/320502/12391/233199/71960/56188/12833/11606/78688/17888/140781/108015/17880/74116/30948/433182/11474/11475",26
"GO:0055001","GO:0055001","muscle cell development","19/404","242/28905",1.72683686488821e-09,8.85620620706956e-08,6.75933287113387e-08,"21956/12372/98932/415115/16905/320502/12391/233199/12833/11606/17888/140781/54409/16691/17880/74116/30948/11474/58859",19
"GO:0031032","GO:0031032","actomyosin structure organization","17/404","223/28905",1.93350312550343e-08,8.89907207763759e-07,6.79204944087103e-07,"17926/21956/12372/98932/415115/404710/320502/12391/233199/71960/17888/140781/12797/68743/26934/16691/17880",17
"GO:0032963","GO:0032963","collagen metabolic process","13/404","124/28905",2.1663107013686e-08,9.60130298507812e-07,7.32801397746909e-07,"14268/12831/17395/100952/12843/52377/12833/17390/17387/76293/216725/17534/12842",13
"GO:0044839","GO:0044839","cell cycle G2/M phase transition","14/404","155/28905",4.21542523608956e-08,1.80159245209066e-06,1.37503156510541e-06,"108000/12428/18008/269582/107976/14235/18817/12534/12442/11799/20877/268697/67052/12532",14
"GO:0007292","GO:0007292","female gamete generation","15/404","181/28905",4.40564530280386e-08,1.84754276425735e-06,1.41010227689837e-06,"12316/56436/17242/215387/20878/54204/18817/11606/56739/22137/12442/21973/217216/268697/67052",15
"GO:0030239","GO:0030239","myofibril assembly","10/404","78/28905",1.37526683371782e-07,5.54742464387299e-06,4.2339675554908e-06,"21956/12372/98932/415115/320502/12391/233199/17888/140781/16691",10
"GO:0000281","GO:0000281","mitotic cytokinesis","10/404","81/28905",1.97798226229103e-07,7.71843078437479e-06,5.89094717247547e-06,"404710/52276/18817/80986/68743/11799/20877/26934/19348/16319",10
"GO:0010951","GO:0010951","negative regulation of endopeptidase activity","14/404","177/28905",2.21207509458201e-07,8.53908558016068e-06,6.51729651522013e-06,"17395/12258/20319/55948/14433/100039229/78688/12955/20317/11799/16644/12954/100042025/30948",14
"GO:0052547","GO:0052547","regulation of peptidase activity","22/404","434/28905",2.56052129449776e-07,9.67607520762837e-06,7.38508247044616e-06,"11905/17395/12258/332579/227753/20319/55948/14433/52377/66340/100039229/78688/12955/20317/11799/18053/432763/16644/74116/12954/100042025/30948",22
"GO:1905517","GO:1905517","macrophage migration","9/404","67/28905",3.89338846711299e-07,1.39772645969356e-05,1.06678843998896e-05,"17242/17395/100952/12267/71660/17390/17387/20304/83433",9
"GO:0051302","GO:0051302","regulation of cell division","14/404","188/28905",4.6226958475358e-07,1.61121146530617e-05,1.22972685652894e-05,"12316/17242/20878/20319/55948/52276/233406/18817/11799/20877/18654/26934/19348/16319",14
"GO:0051346","GO:0051346","negative regulation of hydrolase activity","18/404","329/28905",1.07585175449353e-06,3.47955657534393e-05,2.65570613271375e-05,"11905/17395/12258/20319/55948/14433/100039229/78688/12955/20317/11799/16644/66968/74116/12954/100042025/30948/56327",18
"GO:0090257","GO:0090257","regulation of muscle system process","16/404","265/28905",1.19043717050394e-06,3.81577628759744e-05,2.91231950641142e-05,"21956/12372/98660/227753/16905/13806/12391/56188/11606/78688/140781/108015/74116/30948/433182/11474",16
"GO:0070252","GO:0070252","actin-mediated cell contraction","10/404","102/28905",1.72912947594193e-06,5.44524106897502e-05,4.15597786322884e-05,"21956/98660/227753/66240/12391/56188/17888/140781/30948/11475",10
"GO:0030261","GO:0030261","chromosome condensation","7/404","43/28905",2.06603562256839e-06,6.33937426070131e-05,4.83840821011743e-05,"215387/54392/243529/12534/21973/268697/67849",7
"GO:0050832","GO:0050832","defense response to fungus","8/404","64/28905",3.03683233223732e-06,9.1615361955731e-05,6.99237024397501e-05,"332579/100689/71660/109648/14433/100039229/619548/100042025",8
"GO:0045862","GO:0045862","positive regulation of proteolysis","18/404","357/28905",3.40667074442825e-06,0.000101916233104145,7.77856486644451e-05,"20878/332579/227753/20319/13806/107995/52377/21804/66245/66340/18817/12759/17387/21922/18053/432763/83433/433182",18
"GO:1905523","GO:1905523","positive regulation of macrophage migration","6/404","31/28905",3.93494170240152e-06,0.000115790497636242,8.83749202014768e-05,"17242/12267/71660/17387/20304/83433",6
"GO:0051383","GO:0051383","kinetochore organization","5/404","20/28905",6.78616741238422e-06,0.000194898728083675,0.000148752789679462,"66977/320394/218977/26886/67052",5
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","16/404","325/28905",1.59267230529929e-05,0.000429901772633418,0.000328114444851133,"19215/236539/26922/13118/13117/59031/109900/106529/257633/11606/94180/19378/17001/12411/14869/225884",16
"GO:0071459","GO:0071459","protein localization to chromosome, centromeric region","5/404","24/28905",1.77668898839801e-05,0.000474020473554474,0.000361787213799236,"12236/12534/22137/70385/20877",5
"GO:0071900","GO:0071900","regulation of protein serine/threonine kinase activity","15/404","294/28905",1.93032981517702e-05,0.000509550296800404,0.00038890468335184,"12428/20319/56742/55948/24047/12391/18817/11606/12442/268697/12449/12411/54612/14869/225884",15
"GO:0032886","GO:0032886","regulation of microtubule-based process","14/404","266/28905",2.58856729763559e-05,0.000663782614179413,0.000506619599680109,"71870/72119/56742/21335/12391/233064/18817/80986/54141/332110/12449/22153/100502766/56327",14
"GO:0046034","GO:0046034","ATP metabolic process","13/404","232/28905",2.61704250055674e-05,0.0006663250054609,0.000508560032023083,"67273/98660/13806/14433/12833/100039229/17888/140781/11951/83433/433182/11474/56327",13
"GO:0051402","GO:0051402","neuron apoptotic process","17/404","381/28905",3.05885306953431e-05,0.000773329754903392,0.000590229395107324,"17242/16819/18008/14433/14809/12834/12833/234734/17390/17748/11606/100039229/12759/11799/18053/18546/83433",17
"GO:0090224","GO:0090224","regulation of spindle organization","6/404","44/28905",3.2364862761394e-05,0.000806874009120865,0.000615831416432081,"72119/56742/21335/18817/54141/332110",6
"GO:0010927","GO:0010927","cellular component assembly involved in morphogenesis","10/404","142/28905",3.28946605862662e-05,0.000808848160991067,0.000617338150728558,"21956/12372/98932/415115/320502/12391/233199/17888/140781/16691",10
"GO:0045765","GO:0045765","regulation of angiogenesis","15/404","310/28905",3.56135702578285e-05,0.000869746375684384,0.000663817568071089,"269120/11602/17242/17395/20319/100952/12267/11489/11606/20317/54409/18053/20304/18654/223780",15
"GO:0043508","GO:0043508","negative regulation of JUN kinase activity","4/404","15/28905",4.54271841149318e-05,0.00109452074478259,0.000835372379026263,"20319/54612/14869/225884",4
"GO:1902904","GO:1902904","negative regulation of supramolecular fiber organization","11/404","179/28905",4.72548069980028e-05,0.00110783564714944,0.000845534727907933,"17926/72119/227753/100952/320502/12391/80986/12759/12955/83433/22153",11
"GO:0048246","GO:0048246","macrophage chemotaxis","6/404","47/28905",4.75227547802269e-05,0.00110783564714944,0.000845534727907933,"17242/17395/12267/71660/17390/20304",6
"GO:2001233","GO:2001233","regulation of apoptotic signaling pathway","18/404","436/28905",4.9544765466277e-05,0.00114398026308186,0.000873121426419026,"12235/17395/20319/16905/13806/22163/13144/17390/11606/78688/12759/56321/18053/29813/83433/433182/14869/225884",18
"GO:0043409","GO:0043409","negative regulation of MAPK cascade","11/404","180/28905",4.97105629640029e-05,0.00114398026308186,0.000873121426419026,"20319/100952/14235/12391/11606/52033/75607/83433/54612/14869/225884",11
"GO:1903115","GO:1903115","regulation of actin filament-based movement","6/404","49/28905",6.04513784429702e-05,0.00133963239882878,0.00102244924033172,"21956/98660/12391/56188/30948/11475",6
"GO:0009205","GO:0009205","purine ribonucleoside triphosphate metabolic process","13/404","257/28905",7.49050942369674e-05,0.00162975326248917,0.00124387853460176,"67273/98660/13806/14433/12833/100039229/17888/140781/11951/83433/433182/11474/56327",13
"GO:0042391","GO:0042391","regulation of membrane potential","19/404","495/28905",8.11416336655764e-05,0.00173391943368702,0.00132338140621238,"17926/98660/66240/245537/14403/242653/12391/71960/14809/56188/12833/11606/110902/108015/12424/18053/18440/83433/30948",19
"GO:0001558","GO:0001558","regulation of cell growth","18/404","458/28905",9.25609167898804e-05,0.00195466877220983,0.00149186418826043,"14268/22403/20319/56742/13806/21923/55948/12391/20981/629378/11606/17387/12955/65079/74116/12954/433182/240514",18
