"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006119","GO:0006119","oxidative phosphorylation","56/1061","148/28905",1.18896250090175e-41,5.61071404175537e-38,4.89477088529132e-38,"67273/12859/67126/84682/68375/66142/54405/104130/66377/66576/67680/595136/230075/57423/11958/12861/14004/68202/68198/434175/56312/66091/12862/12865/12534/103172/66043/75406/66594/66916/102060/12857/67184/66148/12866/22272/66152/71679/407785/268697/17993/102631912/66218/28080/69875/68342/67267/78330/17991/11474/14297/12868/107197/67264/225887/17995",56
"GO:0009060","GO:0009060","aerobic respiration","60/1061","199/28905",5.82541055811869e-38,1.3745056211881e-34,1.19911477330538e-34,"67273/12859/67126/84682/68375/66142/54405/104130/66377/66576/67680/595136/230075/57423/11958/12861/17448/14004/68202/68198/434175/56312/66091/12862/12865/12534/14533/103172/12833/66043/75406/66594/66916/102060/12857/67184/66148/12866/22272/66152/71679/407785/268697/17993/102631912/66218/28080/69875/68342/67267/78330/17991/11474/14297/12868/107197/67264/225887/17995/56327",60
"GO:0045333","GO:0045333","cellular respiration","62/1061","255/28905",3.39344314040831e-33,5.33788605986227e-30,4.65675653408312e-30,"67273/12859/67126/84682/67885/68375/66142/54405/104130/66377/66576/67680/595136/230075/57423/11958/12861/17448/14004/68202/68198/434175/110826/56312/66091/12862/12865/12534/14533/103172/12833/66043/75406/66594/66916/102060/12857/67184/66148/12866/22272/66152/71679/407785/268697/17993/102631912/66218/28080/69875/68342/67267/78330/17991/11474/14297/12868/107197/67264/225887/17995/56327",62
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds","68/1061","351/28905",7.80112046416585e-30,9.20337186759966e-27,8.02899529877701e-27,"67273/12859/67126/84682/67885/68375/66142/54405/104130/66377/66576/67680/595136/230075/57423/11958/12861/16548/17448/14004/68202/68198/434175/110826/56312/66091/12862/12865/12534/14533/103172/12833/66043/75406/66594/66916/102060/12857/67184/17751/66148/12866/69183/22272/66152/71679/407785/268697/17993/18654/102631912/18976/66218/58200/28080/69875/68342/67267/78330/17991/11474/14297/12868/107197/67264/225887/17995/56327",68
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","79/1061","488/28905",6.09688189107359e-29,5.75423712879525e-26,5.01998001599764e-26,"15483/67273/12859/67126/84682/67885/68375/66142/18639/54405/104130/66377/66576/74246/67680/64059/595136/230075/57423/11958/12861/16548/17448/14004/68202/68198/434175/110826/56312/66091/12862/12865/21351/12534/14533/103172/12833/66043/75406/66594/66916/102060/12857/67184/17751/66171/21881/66148/12866/18746/14635/69183/11676/22272/66152/56012/71679/407785/268697/17993/18654/102631912/18976/66218/58200/28080/69875/68342/67267/78330/17991/11474/14297/12868/107197/67264/225887/17995/56327",79
"GO:0015986","GO:0015986","proton motive force-driven ATP synthesis","32/1061","71/28905",3.00858378597233e-27,2.36625114766724e-24,2.06431073455049e-24,"67273/67126/68375/54405/104130/66377/67680/595136/230075/57423/11958/68202/68198/66091/66043/75406/66916/67184/71679/11951/407785/17993/102631912/66218/28080/69875/68342/78330/17991/67264/225887/17995",32
"GO:0042776","GO:0042776","proton motive force-driven mitochondrial ATP synthesis","31/1061","66/28905",3.92538945708954e-27,2.64627326400079e-24,2.30860122807176e-24,"67273/67126/68375/54405/104130/66377/67680/595136/230075/57423/11958/68202/68198/66091/66043/75406/66916/67184/71679/407785/17993/102631912/66218/28080/69875/68342/78330/17991/67264/225887/17995",31
"GO:0046034","GO:0046034","ATP metabolic process","50/1061","232/28905",1.96579714219808e-24,1.1595745892541e-21,1.01160955567588e-21,"67273/98660/67126/11636/68375/18639/54405/104130/66377/11983/74246/67680/595136/230075/57423/11958/16548/66437/68202/68198/56312/66091/12833/66043/75406/66916/67184/18746/14635/11676/56012/71679/11951/407785/17993/102631912/66218/12257/28080/83433/69875/68342/78330/17991/11474/107197/67264/225887/17995/56327",50
"GO:0006754","GO:0006754","ATP biosynthetic process","34/1061","102/28905",1.14086220037958e-23,5.98192080399028e-21,5.21861060313983e-21,"67273/67126/68375/54405/104130/66377/67680/595136/230075/57423/11958/68202/68198/66091/66043/75406/66916/67184/71679/11951/407785/17993/102631912/66218/28080/83433/69875/68342/78330/17991/107197/67264/225887/17995",34
"GO:0009205","GO:0009205","purine ribonucleoside triphosphate metabolic process","51/1061","257/28905",3.65981564617994e-23,1.72706700343231e-20,1.50668831496944e-20,"67273/98660/67126/11636/68375/18639/54405/104130/66377/11983/74246/67680/595136/230075/57423/11958/16548/66437/68202/68198/56312/66091/12833/66043/75406/66916/67184/18746/14635/11676/56012/18103/71679/11951/407785/17993/102631912/66218/12257/28080/83433/69875/68342/78330/17991/11474/107197/67264/225887/17995/56327",51
