"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006119","GO:0006119","oxidative phosphorylation","56/1061","148/28905",1.18896250090175e-41,5.61071404175537e-38,4.89477088529132e-38,"67273/12859/67126/84682/68375/66142/54405/104130/66377/66576/67680/595136/230075/57423/11958/12861/14004/68202/68198/434175/56312/66091/12862/12865/12534/103172/66043/75406/66594/66916/102060/12857/67184/66148/12866/22272/66152/71679/407785/268697/17993/102631912/66218/28080/69875/68342/67267/78330/17991/11474/14297/12868/107197/67264/225887/17995",56
"GO:0009060","GO:0009060","aerobic respiration","60/1061","199/28905",5.82541055811869e-38,1.3745056211881e-34,1.19911477330538e-34,"67273/12859/67126/84682/68375/66142/54405/104130/66377/66576/67680/595136/230075/57423/11958/12861/17448/14004/68202/68198/434175/56312/66091/12862/12865/12534/14533/103172/12833/66043/75406/66594/66916/102060/12857/67184/66148/12866/22272/66152/71679/407785/268697/17993/102631912/66218/28080/69875/68342/67267/78330/17991/11474/14297/12868/107197/67264/225887/17995/56327",60
"GO:0015986","GO:0015986","proton motive force-driven ATP synthesis","32/1061","71/28905",3.00858378597233e-27,2.36625114766724e-24,2.06431073455049e-24,"67273/67126/68375/54405/104130/66377/67680/595136/230075/57423/11958/68202/68198/66091/66043/75406/66916/67184/71679/11951/407785/17993/102631912/66218/28080/69875/68342/78330/17991/67264/225887/17995",32
"GO:0046034","GO:0046034","ATP metabolic process","50/1061","232/28905",1.96579714219808e-24,1.1595745892541e-21,1.01160955567588e-21,"67273/98660/67126/11636/68375/18639/54405/104130/66377/11983/74246/67680/595136/230075/57423/11958/16548/66437/68202/68198/56312/66091/12833/66043/75406/66916/67184/18746/14635/11676/56012/71679/11951/407785/17993/102631912/66218/12257/28080/83433/69875/68342/78330/17991/11474/107197/67264/225887/17995/56327",50
"GO:0009205","GO:0009205","purine ribonucleoside triphosphate metabolic process","51/1061","257/28905",3.65981564617994e-23,1.72706700343231e-20,1.50668831496944e-20,"67273/98660/67126/11636/68375/18639/54405/104130/66377/11983/74246/67680/595136/230075/57423/11958/16548/66437/68202/68198/56312/66091/12833/66043/75406/66916/67184/18746/14635/11676/56012/18103/71679/11951/407785/17993/102631912/66218/12257/28080/83433/69875/68342/78330/17991/11474/107197/67264/225887/17995/56327",51
"GO:0033108","GO:0033108","mitochondrial respiratory chain complex assembly","32/1061","104/28905",3.8025385277622e-21,8.54484729167135e-19,7.45450034189373e-19,"67273/68375/54405/104130/66377/595136/230075/68033/68202/68198/66091/68332/75406/66916/67184/100503890/66487/208501/407785/75597/17993/102631912/66218/66379/69875/68342/67267/17991/66836/107197/67264/225887",32
"GO:0007059","GO:0007059","chromosome segregation","59/1061","419/28905",7.62156181149889e-19,1.49858959118597e-16,1.30736527389352e-16,"108000/381318/66977/12316/72119/215387/68612/12235/20878/51944/76464/16571/67037/56742/69928/73804/107995/52276/21335/66993/54392/434175/110033/12055/17345/18817/12447/68953/66311/12534/218977/71988/108912/56419/22137/67629/12442/21973/70385/11799/12189/208092/54141/66156/20877/70218/26886/268697/66336/60411/66570/26934/223970/72415/18140/67052/100502766/66468/67849",59
"GO:0019693","GO:0019693","ribose phosphate metabolic process","61/1061","474/28905",1.66659670498673e-17,2.91284068549346e-15,2.5411538842897e-15,"67273/98660/67126/11636/68375/18639/54405/104130/66377/68603/11983/74246/67680/64059/595136/230075/57423/11958/16548/66437/68202/68198/56312/66091/21351/12833/66043/75406/66916/67184/21881/18746/14635/11676/56012/18103/71679/50773/11951/407785/17993/102631912/66174/66218/12257/64705/28080/83433/69875/68342/78330/17991/52538/11474/107197/67264/14544/73707/225887/17995/56327",61
"GO:0000819","GO:0000819","sister chromatid segregation","40/1061","222/28905",6.5581505282959e-17,1.10528258367958e-14,9.64245365269371e-15,"381318/66977/72119/215387/68612/12235/51944/76464/56742/73804/107995/52276/21335/66993/54392/434175/110033/12055/18817/68953/12534/22137/67629/21973/70385/11799/208092/54141/66156/20877/70218/268697/60411/26934/223970/18140/67052/100502766/66468/67849",40
"GO:0098813","GO:0098813","nuclear chromosome segregation","48/1061","317/28905",7.69776899478953e-17,1.25261282366937e-14,1.09277584532203e-14,"108000/381318/66977/12316/72119/215387/68612/12235/20878/51944/76464/16571/67037/56742/73804/107995/52276/21335/66993/54392/434175/110033/12055/18817/12447/68953/12534/22137/67629/12442/21973/70385/11799/208092/54141/66156/20877/70218/268697/60411/26934/223970/72415/18140/67052/100502766/66468/67849",48
