"","corPvalueStudent.gene.signf.corr..nSamples.","symbol"
"ENSMUSG00000021903",2.06536393252758e-08,"Galnt15"
"ENSMUSG00000040040",2.20142685299379e-08,"Ift88"
"ENSMUSG00000026879",3.01806687736853e-08,"Gsn"
"ENSMUSG00000070858",4.88805388394567e-08,"Gm1673"
"ENSMUSG00000019997",7.66582991225384e-08,"Ccn2"
"ENSMUSG00000027460",9.14014096613243e-08,"Angpt4"
"ENSMUSG00000002845",1.24029617669961e-07,"Tmem39a"
"ENSMUSG00000028464",1.38663501785923e-07,"Tpm2"
"ENSMUSG00000002266",1.59060620391758e-07,"Zim1"
"ENSMUSG00000026260",1.97287393157147e-07,"Ndufa10"
"ENSMUSG00000114255",2.33178862667223e-07,NA
"ENSMUSG00000025503",2.7199028389008e-07,"Taldo1"
"ENSMUSG00000002265",2.94262127764688e-07,"Peg3"
"ENSMUSG00000022613",3.36700782131833e-07,"Miox"
"ENSMUSG00000020878",4.08512521235145e-07,"Lrrc46"
"ENSMUSG00000038302",4.14475251211256e-07,"Afg1l"
"ENSMUSG00000059436",4.62179820253552e-07,"Max"
"ENSMUSG00000027408",5.01711198508416e-07,"Cpxm1"
"ENSMUSG00000083679",5.01785720513159e-07,NA
"ENSMUSG00000040562",7.61566738205171e-07,"Gstm2"
"ENSMUSG00000020257",7.66139409881434e-07,"Wdr82"
"ENSMUSG00000038370",7.88449249056751e-07,"Pcp4l1"
"ENSMUSG00000038555",7.93745105511302e-07,"Reep2"
"ENSMUSG00000019179",7.96982391290797e-07,"Mdh2"
"ENSMUSG00000035783",8.13587315540294e-07,"Acta2"
"ENSMUSG00000000308",8.37789742625148e-07,"Ckmt1"
"ENSMUSG00000029718",8.62656900783683e-07,"Pcolce"
"ENSMUSG00000027327",8.82644454638343e-07,"Adissp"
"ENSMUSG00000048807",8.90875237105997e-07,"Slc35e4"
"ENSMUSG00000032594",9.18508523910617e-07,"Ip6k1"
"ENSMUSG00000027999",9.66677419356678e-07,"Pla2g12a"
"ENSMUSG00000014039",9.85919089727424e-07,"Prdm15"
"ENSMUSG00000015016",1.00034063952953e-06,"Acsf3"
"ENSMUSG00000030735",1.1227053861459e-06,"Gm9755"
"ENSMUSG00000002274",1.26375558978428e-06,"Metrn"
"ENSMUSG00000054021",1.27279576792193e-06,"Sirt5"
"ENSMUSG00000041378",1.32589312929086e-06,"Cldn5"
"ENSMUSG00000023039",1.34888179719647e-06,"Krt7"
"ENSMUSG00000020877",1.35029921474356e-06,"Scrn2"
"ENSMUSG00000021540",1.45995393194041e-06,"Smad5"
"ENSMUSG00000009894",1.49580621092871e-06,"Snap47"
"ENSMUSG00000028597",1.51467692050908e-06,"Gpx7"
"ENSMUSG00000019539",1.52024294439504e-06,"Rcn3"
"ENSMUSG00000057551",1.57173737639391e-06,"Zfp317"
"ENSMUSG00000074476",1.60386412189825e-06,"Spc24"
"ENSMUSG00000025616",1.64127636680605e-06,"Usp16"
"ENSMUSG00000009640",1.72355604813304e-06,"Dmap1"
"ENSMUSG00000044927",1.81570335488861e-06,"H1f10"
"ENSMUSG00000097392",1.85394698980423e-06,"Thoc2l"
"ENSMUSG00000018593",1.92844401033024e-06,"Sparc"
"ENSMUSG00000024772",1.94448617992211e-06,"Ehd1"
"ENSMUSG00000024011",1.94567880622748e-06,"Pi16"
"ENSMUSG00000063903",1.96677952373661e-06,"Klk1"
"ENSMUSG00000081021",2.11590786461601e-06,"Gm11964"
"ENSMUSG00000004462",2.15848490995172e-06,"Tbccd1"
"ENSMUSG00000039449",2.19458933089847e-06,"Prpf18"
"ENSMUSG00000033857",2.41148536388751e-06,"Engase"
"ENSMUSG00000027488",2.43708019609475e-06,"Snta1"
"ENSMUSG00000020696",2.44237005164473e-06,"Rffl"
"ENSMUSG00000045871",2.45094435930217e-06,"Slitrk6"
"ENSMUSG00000024525",2.50861745412096e-06,"Impa2"
"ENSMUSG00000027935",2.5130363165484e-06,"Rab13"
"ENSMUSG00000029416",2.53873343394043e-06,"Slc15a4"
"ENSMUSG00000028910",2.57253549932589e-06,"Mecr"
"ENSMUSG00000026208",2.58093669881127e-06,"Des"
"ENSMUSG00000001270",2.60990942373152e-06,"Ckb"
"ENSMUSG00000037916",2.63868483755347e-06,"Ndufv1"
"ENSMUSG00000025651",2.70296389567452e-06,"Uqcrc1"
"ENSMUSG00000035469",2.82134026289211e-06,"Rcbtb1"
"ENSMUSG00000064369",2.83925139228986e-06,NA
"ENSMUSG00000040280",2.85962873540092e-06,"Ndufa4l2"
"ENSMUSG00000023886",2.93128063218368e-06,"Smoc2"
"ENSMUSG00000074634",2.99293336692713e-06,"Tmem267"
"ENSMUSG00000034664",3.01594286391107e-06,"Itga2b"
"ENSMUSG00000028617",3.0650269668509e-06,"Lrrc42"
"ENSMUSG00000032306",3.07911834217487e-06,"Mpi"
"ENSMUSG00000055531",3.11019325215264e-06,"Cpsf6"
"ENSMUSG00000030946",3.34957644948313e-06,"Lhpp"
"ENSMUSG00000047945",3.49697551688179e-06,"Marcksl1"
"ENSMUSG00000015093",3.52742325975186e-06,"Clic3"
"ENSMUSG00000024369",3.59210700139238e-06,"Nelfe"
"ENSMUSG00000057522",3.73786713621392e-06,"Spop"
"ENSMUSG00000032384",3.77794416047006e-06,"Csnk1g1"
"ENSMUSG00000046408",3.77877521466677e-06,"1700067K01Rik"
"ENSMUSG00000032060",3.82883303557802e-06,"Cryab"
"ENSMUSG00000026051",3.85763847463143e-06,"Ecrg4"
"ENSMUSG00000023456",3.91350856944462e-06,"Tpi1"
"ENSMUSG00000087333",3.98642745837012e-06,"Gm13652"
"ENSMUSG00000020111",4.03061019640571e-06,"Micu1"
"ENSMUSG00000028909",4.16803171627629e-06,"Ptpru"
"ENSMUSG00000023904",4.23183596142152e-06,"Hcfc1r1"
"ENSMUSG00000002055",4.26803036802578e-06,"Spag5"
"ENSMUSG00000070645",4.49642683789196e-06,"Ren1"
"ENSMUSG00000027074",4.54066045583721e-06,"Slc43a3"
"ENSMUSG00000053329",4.57650954345112e-06,"Gatd3a"
"ENSMUSG00000022414",4.62175049003421e-06,"Tab1"
"ENSMUSG00000032294",4.66011152918556e-06,"Pkm"
"ENSMUSG00000023259",4.70851115167652e-06,"Slc26a6"
"ENSMUSG00000006398",4.71323081541515e-06,"Cdc20"
"ENSMUSG00000032231",4.76603611453684e-06,"Anxa2"
"ENSMUSG00000005936",4.78427745124484e-06,"Kctd20"
"ENSMUSG00000041828",4.8009907613274e-06,"Abca8a"
"ENSMUSG00000004929",4.8914123493865e-06,"Thop1"
"ENSMUSG00000010830",4.95418799890294e-06,"Kdelr3"
"ENSMUSG00000025958",4.98215454285667e-06,"Creb1"
"ENSMUSG00000027222",4.98657093869556e-06,"Pex16"
"ENSMUSG00000039914",5.03514844637398e-06,"Coq10a"
"ENSMUSG00000042436",5.11679652757143e-06,"Mfap4"
"ENSMUSG00000025150",5.1391616722179e-06,"Cbr2"
"ENSMUSG00000029730",5.3247330061879e-06,"Mcm7"
"ENSMUSG00000028933",5.3827807779625e-06,"Xrcc2"
"ENSMUSG00000038894",5.40576994280688e-06,"Irs2"
"ENSMUSG00000002010",5.41430979629542e-06,"Idh3g"
"ENSMUSG00000031380",5.46228975731915e-06,"Vegfd"
"ENSMUSG00000006344",5.51143633288266e-06,"Ggt5"
"ENSMUSG00000022440",5.51623826241509e-06,"C1qtnf6"
"ENSMUSG00000025745",5.58324483730397e-06,"Hadha"
"ENSMUSG00000054823",5.61694865282834e-06,"Nsd3"
"ENSMUSG00000026273",5.62057435895032e-06,"Mterf4"
"ENSMUSG00000018340",5.6444231210723e-06,"Anxa6"
"ENSMUSG00000000738",5.66299736117568e-06,"Spg7"
"ENSMUSG00000014776",5.68501693868858e-06,"Nol3"
"ENSMUSG00000031824",5.72760717134975e-06,"6430548M08Rik"
"ENSMUSG00000025428",5.77563590960581e-06,"Atp5a1"
"ENSMUSG00000040688",5.80876458415473e-06,"Tbl3"
"ENSMUSG00000029061",5.83721302866057e-06,"Mmp23"
"ENSMUSG00000061046",5.88071474441622e-06,"Haghl"
"ENSMUSG00000053398",5.95499269005348e-06,"Phgdh"
"ENSMUSG00000048930",6.20791906692287e-06,"Tada3"
"ENSMUSG00000030826",6.28461826832118e-06,"Bcat2"
"ENSMUSG00000047789",6.34107632001027e-06,"Slc38a9"
"ENSMUSG00000038876",6.48725974455672e-06,"Rnf146"
"ENSMUSG00000001349",6.56802107275056e-06,"Cnn1"
"ENSMUSG00000025393",6.56853808592245e-06,"Atp5b"
"ENSMUSG00000036880",6.65962950339521e-06,"Acaa2"
"ENSMUSG00000021752",6.66185525070476e-06,"Kctd6"
"ENSMUSG00000018736",6.667670834455e-06,"Ndel1"
"ENSMUSG00000067818",6.68247557069951e-06,"Myl9"
"ENSMUSG00000055436",6.75650397377922e-06,"Srsf11"
"ENSMUSG00000060376",6.82067050868758e-06,"Bckdha"
"ENSMUSG00000071644",6.83479744464408e-06,"Eef1g"
"ENSMUSG00000052253",7.00888954482452e-06,"Zfp622"
"ENSMUSG00000039068",7.01367551501991e-06,"Zzz3"
"ENSMUSG00000037313",7.11317041749004e-06,"Tacc3"
"ENSMUSG00000031732",7.14504447849274e-06,"Phlpp2"
"ENSMUSG00000046808",7.24461575151091e-06,"Atp10d"
"ENSMUSG00000024818",7.26000859602579e-06,"Slc25a45"
"ENSMUSG00000022770",7.29628538927575e-06,"Dlg1"
"ENSMUSG00000038069",7.40250024514264e-06,"Cdkn2aip"
"ENSMUSG00000049382",7.42214576259717e-06,"Krt8"
"ENSMUSG00000034160",7.44941582475634e-06,"Ogt"
"ENSMUSG00000006469",7.48469216868254e-06,"Slc34a3"
"ENSMUSG00000055065",7.50174335511072e-06,"Ddx17"
"ENSMUSG00000003072",7.5378123860156e-06,"Atp5d"
"ENSMUSG00000022401",7.59042941593396e-06,"Xpnpep3"
"ENSMUSG00000059486",7.61408635213943e-06,"Kbtbd2"
"ENSMUSG00000030677",7.62679896934275e-06,"Kif22"
"ENSMUSG00000017713",7.87232735675418e-06,"Tha1"
"ENSMUSG00000027908",7.90544973868617e-06,"Tchhl1"
"ENSMUSG00000024383",7.96161944177947e-06,"Map3k2"
"ENSMUSG00000022037",7.98455482919302e-06,"Clu"
"ENSMUSG00000083282",8.08852919211975e-06,"Ctsf"
"ENSMUSG00000078162",8.10536025527364e-06,"Gm2574"
"ENSMUSG00000004626",8.19183901081025e-06,"Stxbp2"
"ENSMUSG00000030246",8.1953087146475e-06,"Ldhb"
"ENSMUSG00000020486",8.20358803777621e-06,"Septin4"
"ENSMUSG00000013593",8.31279714537835e-06,"Ndufs2"
"ENSMUSG00000086245",8.31605890488581e-06,NA
"ENSMUSG00000000346",8.32044284953392e-06,"Dazap2"
"ENSMUSG00000015852",8.32384267041823e-06,"Fcrl2"
"ENSMUSG00000049422",8.36540653499678e-06,"Chchd10"
"ENSMUSG00000020362",8.36547726655754e-06,"Cnot6"
"ENSMUSG00000027331",8.43393652750932e-06,"Knstrn"
"ENSMUSG00000051169",8.44801910886784e-06,"Rpusd3"
"ENSMUSG00000057176",8.52339763086587e-06,"Cfap119"
"ENSMUSG00000026608",8.57930402731594e-06,"Kctd3"
"ENSMUSG00000035198",8.87773192574177e-06,"Tubg1"
"ENSMUSG00000063931",8.88668058321643e-06,"Pepd"
"ENSMUSG00000075704",8.8876956324728e-06,"Txnrd2"
"ENSMUSG00000104913",8.96541746708312e-06,NA
"ENSMUSG00000028621",9.0107674557511e-06,"Cyb5rl"
"ENSMUSG00000025533",9.03122312963496e-06,"Asl"
"ENSMUSG00000030674",9.07586944602493e-06,"Qprt"
"ENSMUSG00000001946",9.23386636583023e-06,"Esam"
"ENSMUSG00000034974",9.25792196392814e-06,"Dapk3"
"ENSMUSG00000020246",9.2915767321148e-06,"Hcfc2"
"ENSMUSG00000057101",9.69336221989917e-06,"Zfp180"
"ENSMUSG00000026728",9.8274994991349e-06,"Vim"
"ENSMUSG00000020592",9.89007902687006e-06,"Sdc1"
"ENSMUSG00000091474",9.90442103297071e-06,NA
"ENSMUSG00000030965",9.94510097983409e-06,"Abraxas2"
"ENSMUSG00000021235",1.00608834814875e-05,"Coq6"
"ENSMUSG00000068264",1.00631780890914e-05,"Ap5s1"
"ENSMUSG00000056763",1.01234733476374e-05,"Cspp1"
"ENSMUSG00000115431",1.01517849281676e-05,NA
"ENSMUSG00000032652",1.03128391680627e-05,"Crebl2"
"ENSMUSG00000039968",1.04316894041128e-05,"Rsbn1l"
"ENSMUSG00000098192",1.0551431220848e-05,"Gm3534"
"ENSMUSG00000078592",1.05806753874946e-05,"Gm4609"
"ENSMUSG00000045104",1.05889158598383e-05,NA
"ENSMUSG00000061959",1.06578815573306e-05,"Ces1e"
"ENSMUSG00000096810",1.06608803946987e-05,"Gm10481"
"ENSMUSG00000027502",1.06830764747961e-05,"Rtf2"
"ENSMUSG00000046062",1.07438918256369e-05,"Ppp1r15b"
"ENSMUSG00000028040",1.07603176188388e-05,"Efna4"
"ENSMUSG00000022661",1.08255275661775e-05,"Cd200"
"ENSMUSG00000023336",1.08448574443811e-05,"Wfdc1"
"ENSMUSG00000027580",1.08500396430138e-05,"Helz2"
"ENSMUSG00000031881",1.08671535758604e-05,"Cdh16"
"ENSMUSG00000034575",1.09192379984259e-05,"Tent4a"
"ENSMUSG00000107000",1.09575102457956e-05,NA
"ENSMUSG00000020308",1.10031477655687e-05,"Tpgs1"
"ENSMUSG00000046785",1.10606598228027e-05,"Epm2aip1"
"ENSMUSG00000022305",1.11029830180442e-05,"Lrp12"
"ENSMUSG00000040263",1.11907517640304e-05,"Klhdc4"
"ENSMUSG00000041423",1.12652115463689e-05,"Paqr6"
"ENSMUSG00000029161",1.12759228445843e-05,"Cgref1"
"ENSMUSG00000021485",1.13011270337714e-05,"Mxd3"
"ENSMUSG00000026574",1.13769905971208e-05,"Dpt"
"ENSMUSG00000013483",1.14385053972816e-05,"Card14"
"ENSMUSG00000002428",1.14459037635298e-05,"Hltf"
"ENSMUSG00000000838",1.146734826837e-05,"Fmr1"
"ENSMUSG00000026283",1.15497829726451e-05,"Ing5"
"ENSMUSG00000039242",1.18865226318346e-05,"B3galnt2"
"ENSMUSG00000028233",1.20066262710853e-05,"Tgs1"
"ENSMUSG00000086784",1.20216233946081e-05,"Isoc2a"
"ENSMUSG00000039824",1.20722402362527e-05,"Myl6b"
"ENSMUSG00000063713",1.20813224630746e-05,"Klk1b24"
"ENSMUSG00000029369",1.2131146318526e-05,"Afm"
"ENSMUSG00000027496",1.23455337612122e-05,"Aurka"
"ENSMUSG00000080021",1.24302562335082e-05,NA
"ENSMUSG00000037206",1.24580760025184e-05,"Islr"
"ENSMUSG00000048772",1.25320843796626e-05,"Tmem53"
"ENSMUSG00000030605",1.25932272807547e-05,"Mfge8"
"ENSMUSG00000002984",1.26791179967609e-05,"Tomm40"
"ENSMUSG00000047412",1.28783728247817e-05,"Zbtb44"
"ENSMUSG00000001098",1.29792871800011e-05,"Kctd10"
"ENSMUSG00000030695",1.30661778446928e-05,"Aldoa"
"ENSMUSG00000066415",1.30714910549054e-05,"Msl2"
"ENSMUSG00000001555",1.31133721511479e-05,"Fkbp10"
"ENSMUSG00000078967",1.32018338193706e-05,"Gapdh-ps16"
"ENSMUSG00000030431",1.3241952347882e-05,"Tmem238"
"ENSMUSG00000023027",1.35485698502675e-05,"Atf1"
"ENSMUSG00000037348",1.36672452321533e-05,"Paqr7"
"ENSMUSG00000031807",1.41366613101194e-05,"Pgls"
"ENSMUSG00000054545",1.42365810732909e-05,"Ugt1a6a"
"ENSMUSG00000087543",1.42439559453367e-05,"Gm16576"
"ENSMUSG00000024870",1.43040645552625e-05,"Rab1b"
"ENSMUSG00000027848",1.43125405183292e-05,"Olfml3"
"ENSMUSG00000001525",1.43465025675203e-05,"Tubb5"
"ENSMUSG00000066515",1.43873298738529e-05,"Klk1b3"
"ENSMUSG00000025880",1.44633657269298e-05,"Smad7"
"ENSMUSG00000042694",1.45304791314608e-05,"Stn1"
"ENSMUSG00000005983",1.4545426779911e-05,"1700037C18Rik"
"ENSMUSG00000047866",1.46895685360753e-05,"Lonp2"
"ENSMUSG00000006526",1.47087524944653e-05,"Stimate"
"ENSMUSG00000020150",1.47131371873144e-05,"Gamt"
"ENSMUSG00000040918",1.48248444383331e-05,"Slc19a2"
"ENSMUSG00000034157",1.48382683924343e-05,"Cipc"
"ENSMUSG00000028958",1.48471013614748e-05,"Tmub1"
"ENSMUSG00000035597",1.49055311010108e-05,"Prpf39"
"ENSMUSG00000039878",1.49585556516484e-05,"Slc39a5"
"ENSMUSG00000003438",1.49834929017853e-05,"Timm50"
"ENSMUSG00000023505",1.50049464221056e-05,"Cdca3"
"ENSMUSG00000058833",1.51443045708354e-05,"Rex1bd"
"ENSMUSG00000006021",1.51832730505334e-05,"Kptn"
"ENSMUSG00000020476",1.51975153933588e-05,"Dbnl"
"ENSMUSG00000031365",1.54818557212123e-05,"Zfp275"
"ENSMUSG00000020708",1.55375190679204e-05,"Psmc5"
"ENSMUSG00000063177",1.56024566841848e-05,"Klk1b27"
"ENSMUSG00000024534",1.57422606112482e-05,"Sncaip"
"ENSMUSG00000028745",1.5860833185123e-05,"Capzb"
"ENSMUSG00000029049",1.58954536094682e-05,"Morn1"
"ENSMUSG00000020232",1.59691718284892e-05,"Hmg20b"
"ENSMUSG00000036087",1.60446135403816e-05,"Slain2"
"ENSMUSG00000030870",1.61337348121948e-05,"Ubfd1"
"ENSMUSG00000020737",1.62073978533802e-05,"Jpt1"
"ENSMUSG00000028967",1.62079245408964e-05,"Errfi1"
"ENSMUSG00000020087",1.63328218390988e-05,"Tysnd1"
"ENSMUSG00000016253",1.6563256360622e-05,"Nelfcd"
"ENSMUSG00000018669",1.65651449886565e-05,"Cdk5rap3"
"ENSMUSG00000034164",1.65791623289659e-05,"Emid1"
"ENSMUSG00000023046",1.66652523267999e-05,"Igfbp6"
"ENSMUSG00000029864",1.66801643137875e-05,"Gstk1"
"ENSMUSG00000003199",1.67850234246013e-05,"Mpnd"
"ENSMUSG00000059430",1.6792373359226e-05,"Actg2"
"ENSMUSG00000033487",1.68771166970612e-05,"Fndc3a"
"ENSMUSG00000006782",1.69823412699877e-05,"Cnp"
"ENSMUSG00000083773",1.70719262908127e-05,"Gm13394"
"ENSMUSG00000005410",1.71658003130083e-05,"Mcm5"
"ENSMUSG00000042662",1.71664477946338e-05,"Dusp15"
"ENSMUSG00000022119",1.71987302863056e-05,"Rbm26"
"ENSMUSG00000028035",1.74354379484757e-05,"Dnajb4"
"ENSMUSG00000039285",1.76058740693636e-05,"Azi2"
"ENSMUSG00000032590",1.7687511798412e-05,"Apeh"
"ENSMUSG00000031433",1.80059243508472e-05,"Rbm41"
"ENSMUSG00000018882",1.80075285431837e-05,"Mrpl45"
"ENSMUSG00000020775",1.80175377871785e-05,"Mrpl38"
"ENSMUSG00000018822",1.8101017078239e-05,"Sfrp5"
"ENSMUSG00000021336",1.8416709321515e-05,"Slc17a4"
"ENSMUSG00000095098",1.84902751426742e-05,"Ccdc85b"
"ENSMUSG00000021222",1.88747664759059e-05,"Dcaf4"
"ENSMUSG00000007888",1.89301270031485e-05,"Crlf1"
"ENSMUSG00000063838",1.92012697842278e-05,"Cdc42ep5"
"ENSMUSG00000028973",1.92471660791533e-05,"Abcb8"
"ENSMUSG00000040170",1.93005212283862e-05,"Fmo2"
"ENSMUSG00000110126",1.93768462055062e-05,"Gm9347"
"ENSMUSG00000050335",1.94151334557965e-05,"Lgals3"
"ENSMUSG00000038782",1.9512318733738e-05,"1700028J19Rik"
"ENSMUSG00000028134",1.96337999588684e-05,"Ptbp2"
"ENSMUSG00000039879",1.96539654704257e-05,"Heca"
"ENSMUSG00000031387",1.96750175274304e-05,"Renbp"
"ENSMUSG00000001348",1.9872771059622e-05,"Acp5"
"ENSMUSG00000054452",1.99095918400184e-05,"Tle5"
"ENSMUSG00000004937",1.99175760866454e-05,"Sgta"
"ENSMUSG00000028111",1.99294944964566e-05,"Ctsk"
"ENSMUSG00000034820",2.00107273112616e-05,"Cpsf7"
"ENSMUSG00000032468",2.03768402172404e-05,"Armc8"
"ENSMUSG00000029466",2.04184061655634e-05,"Anapc7"
"ENSMUSG00000020184",2.0796702869343e-05,"Mdm2"
"ENSMUSG00000007833",2.08286130444757e-05,"Aldh16a1"
"ENSMUSG00000029304",2.09000482313042e-05,"Spp1"
"ENSMUSG00000020018",2.09636867433942e-05,"Snrpf"
"ENSMUSG00000033701",2.10979120807674e-05,"Acbd6"
"ENSMUSG00000004665",2.11591125872986e-05,"Cnn2"
"ENSMUSG00000028865",2.12054680439526e-05,"Cd164l2"
"ENSMUSG00000115223",2.14415656885036e-05,NA
"ENSMUSG00000021701",2.14720192613612e-05,"Plk2"
