"","ensembl.id","Symbol","moduleColor","GS.AUC.urea","GS.creat.D2","GS.mIGF1","GS.hIGF1","p.GS.AUC.urea","p.GS.creat.D2","p.GS.mIGF1","p.GS.hIGF1","MM.violet","p.MM.violet","MM.black","p.MM.black","MM.darkgrey","p.MM.darkgrey","MM.darkmagenta","p.MM.darkmagenta","MM.turquoise","p.MM.turquoise","MM.brown","p.MM.brown","MM.darkred","p.MM.darkred","MM.darkorange","p.MM.darkorange","MM.saddlebrown","p.MM.saddlebrown","MM.paleturquoise","p.MM.paleturquoise","MM.skyblue3","p.MM.skyblue3","MM.steelblue","p.MM.steelblue","MM.pink","p.MM.pink","MM.orangered4","p.MM.orangered4"
"ENSMUSG00000021903","ENSMUSG00000021903","Galnt15","darkgrey",-0.669979174365746,-0.670496676289498,0.453708282830516,-0.931052301401161,0.00234955808976887,0.00232455550071286,0.0586000372090914,2.06536393252758e-08,-0.89402719141938,5.70835111824014e-07,0.863275862158413,3.96279109636825e-06,0.78414511150604,0.000117313787074819,-0.759331461246213,0.000257314002673323,0.666490455687404,0.00252395903924825,-0.492283178680958,0.0379546100823407,0.334457955001049,0.174918390186081,-0.319477547940285,0.196250985181832,0.25925746783493,0.298865359718097,-0.147102178473635,0.56024317879636,0.128214713101601,0.612142297409962,-0.0364327813279771,0.885878627873858,-0.0492728352100095,0.846053540519488,0.088549690342561,0.726788191884858
"ENSMUSG00000002845","ENSMUSG00000002845","Tmem39a","darkgrey",-0.616584594146114,-0.728060763603209,0.393928589343124,-0.913110779158443,0.00642416955800125,0.000613402323717038,0.105769158220772,1.24029617669961e-07,-0.775946138402725,0.000153712945849896,0.743820300537661,0.000401944477918872,0.788947056283361,9.96067037228866e-05,-0.774953366698422,0.000158706757574647,0.550192305935309,0.0179921318696689,-0.337452691256788,0.170849245155101,0.403464531657622,0.0968497239788241,-0.440961881230071,0.0669932087173258,0.322765007832497,0.191429016216193,-0.194212928552954,0.43998505932414,0.325421852941115,0.187589975304473,-0.0165588659108745,0.948003827131225,-0.0979874179411099,0.698894602066414,0.105542638465034,0.676824437722748
"ENSMUSG00000002266","ENSMUSG00000002266","Zim1","darkgrey",-0.605823457155182,-0.703490342077619,0.433460355529789,-0.910263426717197,0.00770493927531468,0.00112403806884559,0.0723322477726667,1.59060620391758e-07,-0.857800208744838,5.32827725410586e-06,0.820388412349314,3.04772742541022e-05,0.758365574146494,0.000264809183169139,-0.746225326484006,0.000375852836180391,0.679440307254424,0.00192590378575906,-0.506748665935158,0.0318571046019614,0.40140526320167,0.0987282136684347,-0.301249195781241,0.224439776085097,0.185357637428698,0.461507480009665,-0.197417947789469,0.432325795296876,0.125075703139109,0.620949833302359,0.00956077434730827,0.96996559426389,0.03394335034531,0.893633070810509,0.0150030191211513,0.952883914866667
"ENSMUSG00000059436","ENSMUSG00000059436","Max","darkgrey",-0.673167105544301,-0.700442721748233,0.435797526625883,-0.896908307713538,0.00219899537269501,0.00120678297374024,0.0706362538355291,4.62179820253552e-07,-0.885215163370448,1.05090332011025e-06,0.847540089513711,8.99273812898687e-06,0.82305226788751,2.72861306827833e-05,-0.784257830876435,0.000116869499759354,0.640975127473759,0.00415116396843575,-0.458320943031476,0.0557656742291406,0.361352425104935,0.140656752215902,-0.385550248441942,0.11407802091295,0.299307775461101,0.227588028880741,-0.203301921232224,0.418447791191186,0.221546148799569,0.376958617355011,-0.0210409263396571,0.93395575981352,-0.0719928566047916,0.776502280609408,0.0707751141774872,0.780194121015782
"ENSMUSG00000035469","ENSMUSG00000035469","Rcbtb1","darkgrey",-0.675416676042161,-0.688423586443787,0.359486193705664,-0.869284014219226,0.00209761413410128,0.00158411641707609,0.142870671646509,2.82134026289211e-06,-0.895455722086659,5.14486708264714e-07,0.857601275213053,5.38466393762125e-06,0.82255068479874,2.78641768772151e-05,-0.78560257181956,0.000111678109450071,0.699307405442034,0.00123887342299916,-0.534745258549743,0.0222272609593743,0.348242780823794,0.156720190484272,-0.287984259267444,0.246514497410377,0.239464029037476,0.338543573518202,-0.0911085902777397,0.719191232687422,0.0864686830228974,0.732984332276881,-0.0994932766302994,0.694476687434361,0.0233089287154044,0.926854006888068,0.148451776124156,0.556609906322986
"ENSMUSG00000087333","ENSMUSG00000087333","Gm13652","darkgrey",-0.749605026512404,-0.754027370080341,0.338859488821167,-0.86316811757069,0.000341602913098551,0.000300783079385109,0.168960005811593,3.98642745837012e-06,-0.829106546544262,2.10760128662628e-05,0.793687381797937,8.44036306807294e-05,0.816127608870167,3.62424160520613e-05,-0.795305062263923,7.96886167785985e-05,0.571826891175582,0.0131596397212352,-0.399070112853324,0.100889946953716,0.298723824753107,0.228540503569502,-0.415246460969099,0.0865950501619162,0.330742542583745,0.180056804006702,-0.204398257853845,0.415888420526174,0.210157355157966,0.402581835777153,-0.0918205734225177,0.717081882123108,-0.109578172383567,0.665136449213634,0.176435174593429,0.483717317824286
"ENSMUSG00000038894","ENSMUSG00000038894","Irs2","darkgrey",-0.481754842072804,-0.655846868552881,0.40820815961928,-0.857527272475549,0.0429274379980521,0.00312307617834354,0.0926208525009399,5.40576994280688e-06,-0.88027266257139,1.44883642170723e-06,0.846285007348227,9.56242182363821e-06,0.725097765846253,0.000662058077443817,-0.679149165722782,0.00193792516319671,0.676952781805909,0.00203062811176262,-0.49582908552184,0.0363833691245607,0.351982904758166,0.15201514867869,-0.260664066025469,0.296157220733961,0.2303012082967,0.357895191068782,-0.0398191686620262,0.875346159738435,0.1036909758376,0.68221115017236,0.102894648430654,0.684532284097407,-0.0116762241001705,0.963323922832282,-0.0332230391424532,0.895878544796809
"ENSMUSG00000018736","ENSMUSG00000018736","Ndel1","darkgrey",-0.654048801278293,-0.624600620427004,0.483322537430881,-0.853497689897123,0.0032349476861375,0.00558701100825138,0.0421571203383783,6.667670834455e-06,-0.80514928945694,5.55431925753047e-05,0.80033022810689,6.6440829559805e-05,0.815054991734562,3.78319862215281e-05,-0.77500700118093,0.000158433506018135,0.518697826445237,0.0274162851740715,-0.332140197046065,0.178112117924887,0.246392067980693,0.324323306955872,-0.458776334878659,0.0554915379216516,0.411729826279598,0.0895690037641209,-0.163778499630493,0.516094966345323,0.264661040709459,0.288543014151528,0.0289110331985328,0.909335838308185,-0.20891892003146,0.405423646134304,0.173720327219765,0.490577255440505
"ENSMUSG00000055436","ENSMUSG00000055436","Srsf11","darkgrey",-0.517916604627252,-0.673339598403478,0.421431571121516,-0.853239444627464,0.0276910127541177,0.0021910813050854,0.0815398998106954,6.75650397377922e-06,-0.819126878102239,3.20962467526224e-05,0.783910378693512,0.000118243588112946,0.73002351637189,0.00058284876548551,-0.682073998450005,0.00181993032377321,0.555838894062897,0.0166138695652814,-0.341461174485436,0.165503472178685,0.452092692901016,0.0596178475527814,-0.410928233656066,0.0902571470113923,0.3219850745857,0.192565816996167,-0.208235135895947,0.406997333555741,0.374212720984601,0.126045186666703,0.0708422902027814,0.77999034546207,-0.163608786701869,0.516535888519914,-0.00189483543443195,0.994046306703669
"ENSMUSG00000000346","ENSMUSG00000000346","Dazap2","darkgrey",-0.604932318782265,-0.72136840805136,0.350090377664204,-0.849112074627701,0.00781961631805651,0.0007278465561927,0.154383644077989,8.32044284953392e-06,-0.880731779230682,1.40709309634057e-06,0.823147295638994,2.71777776982473e-05,0.812189329289386,4.23731765968608e-05,-0.776994898661319,0.000148582482253042,0.693760681540899,0.00140602830958064,-0.532110382591966,0.0230217049618301,0.420614016099886,0.0821954010091068,-0.31949351649808,0.196227370708642,0.189516936536411,0.451333070912055,-0.230944797420122,0.356515833561734,0.13704586454346,0.587636597693921,-0.000529096996491188,0.998337530786894,0.0603993499326322,0.811824699055449,0.0360818444559964,0.886971195926134
