"","ensembl.id","Symbol","moduleColor","GS.AUC.urea","GS.creat.D2","GS.mIGF1","GS.hIGF1","p.GS.AUC.urea","p.GS.creat.D2","p.GS.mIGF1","p.GS.hIGF1","MM.violet","p.MM.violet","MM.black","p.MM.black","MM.darkgrey","p.MM.darkgrey","MM.darkmagenta","p.MM.darkmagenta","MM.turquoise","p.MM.turquoise","MM.brown","p.MM.brown","MM.darkred","p.MM.darkred","MM.darkorange","p.MM.darkorange","MM.saddlebrown","p.MM.saddlebrown","MM.paleturquoise","p.MM.paleturquoise","MM.skyblue3","p.MM.skyblue3","MM.steelblue","p.MM.steelblue","MM.pink","p.MM.pink","MM.orangered4","p.MM.orangered4"
"ENSMUSG00000026683","ENSMUSG00000026683","Nuf2","darkmagenta",0.857764182439063,0.771411024903465,-0.167913997649472,0.770703394540113,5.33845097296887e-06,0.000177658783858125,0.505405520758189,0.000181665118138494,0.764753999395929,0.000218471559948931,-0.671072264811099,0.00229700450680254,-0.90474229549685,2.51915337900904e-07,0.922994223380426,4.87306166435183e-08,-0.598973629542536,0.00862229261311213,0.43107237859759,0.0740959723442869,-0.492058896810915,0.0380557133795943,0.451894317227287,0.0597437284112412,-0.20121628537474,0.423339673962623,0.2276535001499,0.363601630098637,-0.25705411346093,0.303137373893527,0.350600155857993,0.153743184185331,-0.0815214087129579,0.747777279819259,-0.43521052907445,0.0710594209630465
"ENSMUSG00000025784","ENSMUSG00000025784","Clec3b","darkmagenta",0.733367299224833,0.599325433181826,-0.0974950799329013,0.761654547820092,0.0005337317307719,0.00857313174966062,0.700341039041172,0.000240015772806394,0.62437038227948,0.0056097511869894,-0.551054342669588,0.0177760773336324,-0.848749073450545,8.47173294404255e-06,0.859756286852785,4.80028223795388e-06,-0.383653156694291,0.116021930916336,0.231934683360617,0.354400195872765,-0.248704025769149,0.319657244280243,0.526823845747245,0.0246825797307367,-0.382438274243407,0.117279060263773,0.488439239690188,0.0397161276679585,-0.320561974565623,0.194651589332073,0.262942736433446,0.29180163986876,0.105716000785011,0.676320864061898,-0.398725001557661,0.101212290256531
"ENSMUSG00000022040","ENSMUSG00000022040","Ephx2","darkmagenta",0.834678884613886,0.818412175546208,-0.0315714723838008,0.759955925574188,1.64700022971335e-05,3.30455727562453e-05,0.901029900974928,0.000252564024230321,0.698322329562302,0.00126728860141958,-0.593856630899765,0.00936335844873353,-0.876548432178733,1.82873536168906e-06,0.900257349017277,3.58748089447433e-07,-0.532519608713273,0.0228968825281626,0.347580537922631,0.157563546696298,-0.548129610562235,0.0185175276456747,0.487601544459445,0.0401081728383493,-0.220044802136768,0.380283374955628,0.0960742784917499,0.704520692033513,-0.356366543227828,0.146625188784642,0.426718889891308,0.0773926613424498,-0.0492033539149592,0.846268178838983,-0.495682127668457,0.0364474787798842
"ENSMUSG00000022033","ENSMUSG00000022033","Pbk","darkmagenta",0.832938761531836,0.712564410193928,-0.169567874320106,0.756576943854078,1.78053645635469e-05,0.000905089624624947,0.501160265533025,0.000279174926404814,0.737284045255383,0.000480654928720842,-0.657016661551328,0.0030520140156646,-0.891749797819642,6.71686995266021e-07,0.908792183717227,1.80301377152923e-07,-0.560807771605187,0.0154713821982585,0.389317968906318,0.110286108869893,-0.40601896605712,0.0945555337758175,0.459141836923481,0.0552722467982201,-0.25422868653821,0.308668800926544,0.230909868959925,0.35659061547698,-0.251577592049704,0.313913303776938,0.297936265663258,0.229829131953946,-0.0432442605314957,0.864713555976592,-0.418514087427349,0.0838967379278369
"ENSMUSG00000026043","ENSMUSG00000026043","Col3a1","darkmagenta",0.808952764780299,0.796118242599688,-0.0636429281953476,0.74680338616103,4.8052629269801e-05,7.74041973613105e-05,0.801904419437115,0.000369798414495348,0.535704943396378,0.021943304613609,-0.480836083567372,0.0433838456071504,-0.958074517543392,4.20748807096288e-10,0.958256079723892,4.06624740424372e-10,-0.219246272997414,0.382058333223701,0.0066478032255087,0.979114158751953,-0.266361011832229,0.285341034483472,0.78645942211842,0.000108473231519692,-0.583955542567294,0.0109423530142262,0.350889645396801,0.153380296331816,-0.59243560219416,0.00957798543447462,0.153567794604184,0.542932059952911,0.289583591775248,0.243782821647178,-0.530104750700291,0.0236411853891876
"ENSMUSG00000020914","ENSMUSG00000020914","Top2a","darkmagenta",0.792886637231233,0.743000657897741,-0.13075625955473,0.741083674289416,8.68237907696966e-05,0.000411176957939006,0.605047956991743,0.000433467317728952,0.579220021069856,0.0117693693642179,-0.529421226028041,0.0238552575073242,-0.91560358127539,9.90559922184291e-08,0.924805483715965,4.0516393436087e-08,-0.290977259546848,0.241418131958691,0.0795182856812849,0.753791108266849,-0.28315863911355,0.254873554641427,0.699254338661136,0.00124039056038969,-0.515205006197185,0.0286612195806351,0.347089979783938,0.158190261445088,-0.502318294351973,0.0336378121635144,0.14579002761263,0.563785550934847,0.240237071499563,0.336939219605958,-0.504844300186503,0.0326133758511178
"ENSMUSG00000078597","ENSMUSG00000078597","Cyp4a12b","darkmagenta",0.760217017282322,0.748144557989768,-0.0966700152992796,0.740930240932355,0.000250600060285673,0.000356066353553143,0.70276719041111,0.000435294402906739,0.611000917428342,0.00706522464343713,-0.557706176474275,0.0161769545190249,-0.920546620660803,6.21009159990617e-08,0.929363239942741,2.49307451128074e-08,-0.333119303945577,0.176758228258932,0.155928948317926,0.536670890447654,-0.220320683020366,0.379671215952326,0.659532040146412,0.00290369978938674,-0.485642011604619,0.0410367973534133,0.358553499442033,0.14398612335566,-0.405922876620482,0.0946411158000299,0.127160788721798,0.615093871292738,0.1841525688946,0.464476730692846,-0.403655804806173,0.096676560485826
"ENSMUSG00000027469","ENSMUSG00000027469","Tpx2","darkmagenta",0.820600035581609,0.767966460843677,-0.202662262966882,0.739470836919979,3.02126333956179e-05,0.000197887042103589,0.419944913409737,0.000452998472579026,0.654566639550743,0.00320239734597237,-0.63515222690893,0.00462236204686744,-0.934823926773417,1.33285786561071e-08,0.921031204793841,5.9227008095248e-08,-0.327119775695876,0.185163589277465,0.138449697314001,0.583779187628827,-0.179941725835156,0.474926974277625,0.687619504194146,0.00161249823661353,-0.560512942814378,0.0155373831464761,0.274077262102273,0.271080957559472,-0.431393152378388,0.073857228932648,0.103247336854146,0.68350393513905,0.297829769760555,0.23000374098036,-0.434643602839442,0.0714698949765141
"ENSMUSG00000041431","ENSMUSG00000041431","Ccnb1","darkmagenta",0.776127066664148,0.652324742466755,-0.195598476770859,0.733176825836109,0.000152817316989605,0.0033452803537669,0.436665330060986,0.000536433199040231,0.744527934902889,0.000394114298893554,-0.707963064452088,0.00101118255729658,-0.894216401809621,5.63078591160811e-07,0.876887238001718,1.79095475005473e-06,-0.512637960665943,0.0296038210742287,0.373052209449146,0.127318006520218,-0.224859753586458,0.369678123621483,0.467012207752276,0.0507064822744886,-0.350392747764347,0.154003541111279,0.179691263323424,0.475552204240931,-0.191891197497717,0.445577020295419,0.213664696266827,0.39459238179113,0.0659166088666471,0.794967564577278,-0.383708509729081,0.115964881496772
"ENSMUSG00000042116","ENSMUSG00000042116","Vwa1","darkmagenta",0.79231697791869,0.716728645667567,-0.00448799513541267,0.731470939958366,8.85811463386029e-05,0.000817235589435419,0.985898978796435,0.000561142477559803,0.780273324198094,0.000133468253437427,-0.68018054571654,0.00189561618606939,-0.83233639501194,1.82886781754967e-05,0.854063681220706,6.47647456716011e-06,-0.67033673168203,0.00233225953883021,0.546866329539962,0.0188452267829845,-0.427819157311545,0.0765494953653683,0.288779569963016,0.245153690158836,-0.10213154048673,0.686759116762699,0.0737014418319729,0.771330038130082,-0.0677494362236833,0.789386333124591,0.461763120066577,0.053718581803929,-0.201323533149342,0.423087388980705,-0.387378069354201,0.112227076230591
