"","ensembl.id","Symbol","moduleColor","GS.AUC.urea","GS.creat.D2","GS.mIGF1","GS.hIGF1","p.GS.AUC.urea","p.GS.creat.D2","p.GS.mIGF1","p.GS.hIGF1","MM.violet","p.MM.violet","MM.black","p.MM.black","MM.darkgrey","p.MM.darkgrey","MM.darkmagenta","p.MM.darkmagenta","MM.turquoise","p.MM.turquoise","MM.brown","p.MM.brown","MM.darkred","p.MM.darkred","MM.darkorange","p.MM.darkorange","MM.saddlebrown","p.MM.saddlebrown","MM.paleturquoise","p.MM.paleturquoise","MM.skyblue3","p.MM.skyblue3","MM.steelblue","p.MM.steelblue","MM.pink","p.MM.pink","MM.orangered4","p.MM.orangered4"
"ENSMUSG00000026687","ENSMUSG00000026687","Aldh9a1","steelblue",-0.214614643295965,-0.374478341197535,0.658335142515906,-0.754889987094021,0.392443482834903,0.125755123129712,0.00297351603922468,0.000293320013961441,-0.601183876426531,0.00831716510233699,0.685582285054569,0.00168629650931148,0.492800450088417,0.0377222161890395,-0.43058160095158,0.0744623453383766,0.244827272472313,0.327504006345817,-0.0557891674975905,0.825971366405158,-0.171025295518446,0.4974334745758,-0.390396182535465,0.109217703980061,0.609290990276004,0.00727156038457566,-0.272619556474743,0.273740474507508,0.214037220339928,0.393748921366421,0.612064549133796,0.0069392835018454,-0.490542364591143,0.038744773649515,-0.288807220838658,0.245106464169146
"ENSMUSG00000030654","ENSMUSG00000030654","Arl6ip1","steelblue",-0.125760565939174,-0.316250389150327,0.486806515767386,-0.558899014719772,0.619023982154809,0.201061936677954,0.0404829801673881,0.015902646208663,-0.317177709413568,0.199671644257929,0.433948894861258,0.0719752732913362,0.400969781571165,0.0991288019415364,-0.326767102323747,0.185665838299537,-0.0854583258527442,0.735998342060099,0.260505597315351,0.296461579033048,-0.331317279693714,0.179255403728291,-0.536980409260069,0.0215703240562356,0.774140415820096,0.000162897548267161,-0.241373279149211,0.334589186053044,0.400935007002869,0.0991608405280937,0.683140168411229,0.00177842443204788,-0.692470065298174,0.00144749083267477,-0.218540925003159,0.383629976337985
"ENSMUSG00000031938","ENSMUSG00000031938","4931406C07Rik","steelblue",0.703926837662659,0.649949554349612,0.239565723297423,0.526645510116352,0.00111258293673805,0.00350231705692634,0.338332267287385,0.0247401945940137,0.439484108191136,0.0680210858306513,-0.250583226825904,0.315893952133743,-0.677885214461471,0.00199083552092705,0.752219625310001,0.000316942647398162,-0.526178421312674,0.0248915945367499,0.423589108033507,0.0798284007944215,-0.820060407520783,3.08913601197881e-05,0.25018133749331,0.316696560435286,0.220685842537555,0.378861795946254,0.14275496670331,0.572016290970535,-0.240357351930428,0.336689989795472,0.738566048565967,0.000464274854713076,-0.48398790419372,0.0418333854187452,-0.577519618200099,0.0120782275916092
"ENSMUSG00000022186","ENSMUSG00000022186","Oxct1","steelblue",0.774653358851993,0.749542171159957,0.242172618624258,0.507180454431091,0.000160242566515448,0.000342215048082237,0.332941630367986,0.0316875310549632,0.457058233331339,0.0565311195800559,-0.280854256060419,0.258927226603685,-0.735424119691548,0.000505278716561103,0.800636671567908,6.56975593402624e-05,-0.491380306917542,0.0383628703159332,0.363311186253628,0.13835878116826,-0.800189038382207,6.6785678489092e-05,0.35525793472834,0.14797564715775,0.116556196859056,0.645099792750222,0.0990536731594727,0.695765443062903,-0.332072027289602,0.178206640244886,0.679601607423239,0.00191927019051739,-0.383470833263434,0.116209982634212,-0.607924988657819,0.00743987026271416
"ENSMUSG00000027323","ENSMUSG00000027323","Rad51","steelblue",0.616233196928614,0.412265417525609,0.0304559269857641,0.466132702913632,0.00646307009094591,0.0891113431586628,0.904511510381694,0.0512020581413462,0.337450957025521,0.170851582887958,-0.193111055341645,0.442634410520823,-0.520149734640774,0.0269113348695578,0.620606125362145,0.00599232980922638,-0.346182605366702,0.159353965460065,0.231244869671424,0.355873745726205,-0.579494984256257,0.0117200237610496,0.287940719653069,0.246589132969898,0.0753655576877958,0.766301217593369,0.340607172011635,0.166632740163398,-0.271546854398992,0.275707810405781,0.569077655387872,0.0137087977693665,-0.235753224029512,0.346306309231394,-0.503574826008505,0.0331251632626108
"ENSMUSG00000010048","ENSMUSG00000010048","Ifrd2","steelblue",0.105106250617784,-0.144039601935968,0.477075813782049,-0.461136612930082,0.678092611089633,0.568526219412406,0.0452904356672972,0.0540868933417269,-0.288179789979674,0.246179495001282,0.381129546518902,0.118644056582322,0.231400848136481,0.355540246679596,-0.159326536471893,0.527719342925709,0.014554664878216,0.95429053155977,0.127368228917097,0.614512476949271,-0.263527942944987,0.290689347108508,-0.288068619863116,0.246369927222463,0.5356186741448,0.0219687134374582,-0.203043837293405,0.419051495891235,0.205681528020776,0.412903286674326,0.73150809562257,0.000560594312416036,-0.460707599181819,0.0543401961631216,-0.395290748612904,0.104460385511904
"ENSMUSG00000041488","ENSMUSG00000041488","Stx3","steelblue",-0.0176922341590405,-0.217971747850477,0.476880080700939,-0.440148593004767,0.944449989493518,0.384900806061409,0.0453913937155167,0.0675574610651144,-0.327509055628115,0.184610261900768,0.453467740934498,0.0587507465703664,0.298469620041337,0.228955932609255,-0.204127681080854,0.416519298566166,-0.0904145686503218,0.721249229839906,0.240723584398833,0.335931788631015,-0.407557151123961,0.0931931543179918,-0.450749069553077,0.0604743444741871,0.748434926439006,0.000353150478007016,-0.32982474041524,0.181341540010353,0.316789669770372,0.200252642753677,0.764191420351857,0.000222255972550996,-0.729581050415636,0.000589622790397685,-0.319550713811915,0.19614280212551
"ENSMUSG00000020553","ENSMUSG00000020553","Pctp","steelblue",0.707216198707506,0.628741164208673,0.272591096865644,0.436335731540516,0.0010293418195944,0.00519067351378686,0.273792557328772,0.0702499018763137,0.582355211505227,0.0112164585070899,-0.418717494349074,0.0837308248970233,-0.6644760125465,0.00262942114780189,0.693344964511779,0.00141927470979388,-0.668694287276058,0.00241259566772749,0.617482841593769,0.00632559292124465,-0.701330245774394,0.00118218029205017,0.0918633989303617,0.716955067424606,0.274534440391457,0.270250159857979,-0.0176039585824873,0.944726755131484,-0.00489711955446744,0.984613671375566,0.739089600997258,0.000457721476338486,-0.5355156516353,0.0219990868005296,-0.492582461495351,0.0378200182437741
"ENSMUSG00000107092","ENSMUSG00000107092",NA,"steelblue",0.162734770421311,-0.162556729471638,0.656261523098916,-0.436014993739194,0.518809410777032,0.519273108493211,0.00309773320450951,0.0704799556996969,-0.287812886634483,0.246808346734017,0.391972902411947,0.10766864873055,0.110154317512113,0.663473680612356,-0.0354615792553689,0.888902734202288,-0.00156536794119405,0.99508150141202,0.161158754351427,0.522920753410513,-0.160148826754421,0.525563256177152,-0.275727866320341,0.26808886459596,0.492328748109418,0.0379340931824592,-0.171703294786584,0.495704306856615,0.296691766799936,0.231874907493761,0.846219209351353,9.59312141517999e-06,-0.536905243383017,0.0215921657160276,-0.560639791198594,0.0155089593150917
"ENSMUSG00000019872","ENSMUSG00000019872","Smpdl3a","steelblue",-0.100434854512098,-0.296274090813111,0.422378390123969,-0.433199686969074,0.691719012478238,0.232564112168245,0.0807855467996048,0.0725232516163802,-0.272696287025097,0.27360008336768,0.398625516739618,0.101305348997366,0.378066943208314,0.121882167610267,-0.304240503485227,0.219644232029461,-0.142647666172057,0.572308218237034,0.292524132387889,0.238810613959146,-0.457032112777987,0.0565470364613304,-0.54114587936138,0.0203867593840127,0.803582812470636,5.89049136163601e-05,-0.253098845568682,0.310897467305994,0.340124619223372,0.16727313638384,0.706239329062463,0.00105350237654582,-0.725498427815699,0.00065529602619044,-0.205073301077457,0.414316708811727
