"","ensembl.id","Symbol","moduleColor","GS.AUC.urea","GS.creat.D2","GS.mIGF1","GS.hIGF1","p.GS.AUC.urea","p.GS.creat.D2","p.GS.mIGF1","p.GS.hIGF1","MM.violet","p.MM.violet","MM.black","p.MM.black","MM.darkgrey","p.MM.darkgrey","MM.darkmagenta","p.MM.darkmagenta","MM.turquoise","p.MM.turquoise","MM.brown","p.MM.brown","MM.darkred","p.MM.darkred","MM.darkorange","p.MM.darkorange","MM.saddlebrown","p.MM.saddlebrown","MM.paleturquoise","p.MM.paleturquoise","MM.skyblue3","p.MM.skyblue3","MM.steelblue","p.MM.steelblue","MM.pink","p.MM.pink","MM.orangered4","p.MM.orangered4"
"ENSMUSG00000026879","ENSMUSG00000026879","Gsn","violet",0.599628452286497,0.709778359730828,-0.403680036336381,0.927604603399086,0.00853096915173892,0.000968154645460601,0.0966546391371014,3.01806687736853e-08,0.807074042577928,5.16372615876077e-05,-0.775734588105551,0.000154765785146481,-0.816945300104862,3.5069202869199e-05,0.798419437590091,7.12385275953656e-05,-0.504005336463693,0.0329509139411249,0.275165956961891,0.269105143831454,-0.317014570886368,0.199915770490893,0.516593264615674,0.0281612606968985,-0.445186654368931,0.0641182300441764,0.391601418165204,0.108032193514226,-0.37568585697858,0.124442400460583,-0.113805746352218,0.652970602838985,0.223550007579727,0.372546350905685,-0.0600223270953454,0.812979600498134
"ENSMUSG00000070858","ENSMUSG00000070858","Gm1673","violet",0.465189971968796,0.579577311439613,-0.513263662153603,0.922963705103389,0.0517373105689285,0.0117052813163338,0.0293718842758269,4.88805388394567e-08,0.917481155276529,8.32415733591241e-08,-0.89131283058362,6.92700746845826e-07,-0.63527919375175,0.00461164223391387,0.620763678901957,0.00597590358147456,-0.753028535689014,0.000309623710706585,0.589970643446821,0.00995964266109114,-0.31524640009584,0.202574342662008,0.137581467723349,0.586163627629312,-0.146291317580689,0.562431085003058,0.121298266754465,0.631613980146535,0.0272827922400165,0.914423705016548,-0.101031522041106,0.689973410158292,-0.053957888955612,0.831605205426771,0.185765036681663,0.460505830752571
"ENSMUSG00000027460","ENSMUSG00000027460","Angpt4","violet",0.361777514307593,0.468364634216073,-0.563844541109369,0.916477161392329,0.14015581389125,0.0499515080461581,0.0148044187272811,9.14014096613243e-08,0.777976678240447,0.000143911690173622,-0.786362501245312,0.000108831788662894,-0.587906216159749,0.0102885887227673,0.543356058938436,0.0197798406182054,-0.541891018306525,0.0201805298815604,0.346534044841128,0.158902554684084,-0.199393043595539,0.42764072724156,0.236171174334278,0.345426915285277,-0.337760649846405,0.170434461562411,0.18543819168,0.461309338805248,-0.141104610387676,0.576513378916492,-0.254389385075825,0.308352591696491,0.160484748426503,0.524683624367969,0.169928486574945,0.500236898086936
"ENSMUSG00000028464","ENSMUSG00000028464","Tpm2","violet",0.640438160614765,0.701583604048644,-0.465919007168095,0.911845996189771,0.00419290160513454,0.00117523405251718,0.0513230197405053,1.38663501785923e-07,0.90802729180183,1.92282908947287e-07,-0.886503278619668,9.64225594544354e-07,-0.820028449949853,3.09319598719278e-05,0.778732209502621,0.000140402403007831,-0.655809219231611,0.003125385639981,0.462614094145574,0.0532213381908036,-0.320590237648657,0.194610020493443,0.367726207603147,0.133275178340262,-0.327183301349761,0.185073217631263,0.211117916266397,0.400385101140434,-0.179172675754702,0.476848049297934,-0.0719259849670327,0.776704898476984,0.0918493978441177,0.716996526602483,-0.0431653137994465,0.864958390530306
"ENSMUSG00000026260","ENSMUSG00000026260","Ndufa10","violet",0.603947035551318,0.680810331983692,-0.451145733078464,0.907719966567138,0.00794800738029909,0.00187015876897218,0.0602205393929897,1.97287393157147e-07,0.955216257313679,7.06691079667196e-10,-0.921447719448891,5.68496240385269e-08,-0.763024499163445,0.000230282311196876,0.729022888184731,0.00059826197395532,-0.750156173534362,0.00033627472975184,0.567679326594895,0.0139950237507303,-0.399792245235517,0.100217843833542,0.255261202132019,0.306640474413085,-0.20660997207275,0.410750712200137,0.0731914837065997,0.772872837334586,-0.0970848057175509,0.701547131334266,0.00695769081158071,0.978140779545932,-0.00330530957327107,0.989614685101633,-0.00644243546194279,0.979759249223716
"ENSMUSG00000025503","ENSMUSG00000025503","Taldo1","violet",0.553843064164316,0.641830616382604,-0.437871149766107,0.903787779624202,0.0170911312220133,0.00408536951529973,0.0691562905304397,2.7199028389008e-07,0.960602920863465,2.57860434538265e-10,-0.92215450528499,5.3004362901069e-08,-0.702511941562668,0.00115007132224498,0.67588402717738,0.00207704383249162,-0.770022855349691,0.00018558979937727,0.594619972648572,0.00924967194777457,-0.391966281546492,0.107675120435248,0.186942410144018,0.457617269987741,-0.166062579947756,0.510178017703594,0.125755348299991,0.619038645384457,-0.0429454212579511,0.865640396690517,-0.00832914240736683,0.973833322098741,-0.030221977563785,0.905241877213731,0.0654768432650465,0.796308137132316
"ENSMUSG00000022613","ENSMUSG00000022613","Miox","violet",0.694903091620893,0.763848759958677,-0.286878265688284,0.901077913048289,0.00137015367692676,0.000224587999385184,0.248414818290436,3.36700782131833e-07,0.907439756343758,2.01948125866375e-07,-0.826087571684459,2.40017663810583e-05,-0.833402284638514,1.74409260798852e-05,0.831509255823173,1.89705821260132e-05,-0.742050200479823,0.000422105256411618,0.559808921863213,0.0156958897672944,-0.504947169112371,0.0325721732751509,0.31093993830256,0.209146295265008,-0.15478579946171,0.539698127948076,0.174033103790699,0.489784527335274,-0.148171794204733,0.557362796774467,0.15907364864246,0.528383244888783,-0.109045742129585,0.666674378886447,-0.140733265323126,0.577527334120892
"ENSMUSG00000020878","ENSMUSG00000020878","Lrrc46","violet",0.6672602788019,0.670988288432645,-0.52103152878449,0.898554494389917,0.00248458762563162,0.00230100724796868,0.0266082121189882,4.08512521235145e-07,0.814374504012116,3.88709283551972e-05,-0.809150439622467,4.76880940967545e-05,-0.782061537377208,0.000125787712852162,0.770184699356904,0.000184650012358837,-0.546069695469644,0.0190542143591236,0.353203012665021,0.150501486605894,-0.222333457073614,0.375221598931269,0.422485332537401,0.0807006656057612,-0.391974617147558,0.107666972671324,0.237910929946102,0.341780185419466,-0.207379568574921,0.408970992163033,-0.0839229182147237,0.74058565457684,0.172166007244042,0.494525871389926,-0.0745692305612036,0.768706556558889
"ENSMUSG00000038302","ENSMUSG00000038302","Afg1l","violet",0.541148620705679,0.623326645580407,-0.474748674302647,0.898362665659956,0.0203859976479712,0.00571378406538644,0.0465018628543827,4.14475251211256e-07,0.903427714211153,2.79914321901685e-07,-0.865801685261509,3.44213940815618e-06,-0.659545090128387,0.00290294606002832,0.638233700150518,0.00436785886200723,-0.739927755040237,0.000447391799026624,0.569201404726256,0.0136836934176363,-0.442123565451633,0.0661933195681676,0.17800398997813,0.47977474233761,-0.107809983187764,0.670248748659161,0.110480833425978,0.662532011103254,-0.0696195328421954,0.783701650781042,0.0134665899887864,0.957704663274395,-0.0562457361043653,0.824568003411191,0.0627444236410501,0.804649619979257
"ENSMUSG00000027408","ENSMUSG00000027408","Cpxm1","violet",0.660445692820925,0.787525857710138,-0.356914066581292,0.895798304828861,0.00285131671097448,0.000104593614387692,0.145961367352144,5.01711198508416e-07,0.83415358925004,1.68637678354071e-05,-0.794406816223554,8.22782877997783e-05,-0.881349015842253,1.35260881981072e-06,0.848143805502477,8.72923889165275e-06,-0.566140278581979,0.0143155262120758,0.351261037153545,0.152915601543492,-0.395378555300033,0.104376420100928,0.508464822172897,0.0311872511863546,-0.383599353794753,0.116077401758566,0.238264291286246,0.341042225939219,-0.350149857418669,0.154308822600613,-0.0369363581889374,0.884311189911986,0.131544211740045,0.602855287455849,-0.137543507485715,0.586267971711822
