"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04614","mmu04614","Renin-angiotensin system - Mus musculus (house mouse)","10/336","37/9334",4.6801100621904e-07,9.32663845926266e-05,8.77309776683162e-05,"13648/16619/16616/16617/18050/16622/16612/50492/11606/17227",10
"mmu04110","mmu04110","Cell cycle - Mus musculus (house mouse)","20/336","155/9334",6.61463720515082e-07,9.32663845926266e-05,8.77309776683162e-05,"17215/12235/12236/12428/55948/107995/12576/18817/12534/67177/19651/17218/11920/22137/12442/20877/268697/67052/12532/67849",20
"mmu04914","mmu04914","Progesterone-mediated oocyte maturation - Mus musculus (house mouse)","12/336","92/9334",0.000105782575147714,0.00994356206388513,0.00935340664463999,"12235/20878/67071/12428/231207/110033/18817/12534/12442/268697/11515/12532",12
"mmu04961","mmu04961","Endocrine and other factor-regulated calcium reabsorption - Mus musculus (house mouse)","9/336","61/9334",0.000302690321568491,0.0186757286883884,0.017567314779671,"98660/13648/16619/16616/16617/18050/16622/16612/11515",9
"mmu04510","mmu04510","Focal adhesion - Mus musculus (house mouse)","18/336","203/9334",0.00037388277259136,0.0186757286883884,0.017567314779671,"14268/98932/11798/54635/57257/21923/12843/12390/12391/16202/215449/12834/12833/22330/12928/12842/18654/18607",18
"mmu04114","mmu04114","Oocyte meiosis - Mus musculus (house mouse)","13/336","121/9334",0.000397355929540178,0.0186757286883884,0.017567314779671,"12235/20878/67071/107995/231207/18817/12534/56739/12442/103583/268697/11515/12532",13
"mmu05168","mmu05168","Herpes simplex virus 1 infection - Mus musculus (house mouse)","31/336","459/9334",0.000526398175662047,0.0212063265052425,0.0199477203408776,"665001/100043915/626832/332579/319535/242747/666532/230162/23960/69930/71163/56869/73729/22776/22775/73610/102635315/331188/408062/666584/233987/20304/629016/238692/67911/240034/22654/22712/24132/73451/108168395",31
"mmu04814","mmu04814","Motor proteins - Mus musculus (house mouse)","17/336","196/9334",0.000696147078144231,0.0245391845045842,0.0230827715384666,"21956/98932/16571/73804/22004/11468/53857/110033/71960/17888/140781/17880/22153/100502766/19348/11475/16551",17
"mmu04068","mmu04068","FoxO signaling pathway - Mus musculus (house mouse)","13/336","131/9334",0.000851757571979545,0.0266884039220257,0.0251044337004497,"16367/22035/12452/16369/12576/18817/19651/384783/11920/12442/14377/268697/18607",13
"mmu04115","mmu04115","p53 signaling pathway - Mus musculus (house mouse)","9/336","73/9334",0.0011607032329422,0.0327318311689702,0.030789180494888,"55948/12452/12534/11920/12442/268697/20135/29813/29870",9
"mmu03320","mmu03320","PPAR signaling pathway - Mus musculus (house mouse)","10/336","89/9334",0.00129896424447578,0.0333007197220155,0.0313243052256361,"20183/18830/13118/13117/16202/94180/19013/18607/66968/20411",10
"mmu05415","mmu05415","Diabetic cardiomyopathy - Mus musculus (house mouse)","17/336","211/9334",0.0015763116852446,0.0369111334857032,0.0347204391130915,"12825/16367/67273/84682/17395/12843/14433/407790/17390/11606/17227/12842/11951/19013/17706/17720/17721",17
"mmu04974","mmu04974","Protein digestion and absorption - Mus musculus (house mouse)","11/336","108/9334",0.00170157707558206,0.0369111334857032,0.0347204391130915,"12825/98660/12831/170745/329941/12819/12843/12834/12833/12822/12842",11
"mmu04270","mmu04270","Vascular smooth muscle contraction - Mus musculus (house mouse)","13/336","144/9334",0.0020308318510855,0.0409067558575793,0.0384789192837252,"211429/98932/54598/13118/13117/11468/71960/11606/54409/223780/17880/11515/11475",13
