"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu00190","mmu00190","Oxidative phosphorylation - Mus musculus (house mouse)","50/563","135/9334",3.45804842885096e-27,1.08928525508805e-24,9.68253560078269e-25,"67273/12859/67126/84682/68375/66142/54405/104130/66377/66576/67680/595136/230075/57423/11958/12861/68202/66144/68198/66091/12862/333182/12865/110323/76429/407790/66043/75406/66594/66916/12857/67184/12866/22272/66152/71679/11951/407785/17993/66218/12864/28080/69875/68342/78330/17991/12868/67264/225887/17995",50
"mmu04932","mmu04932","Non-alcoholic fatty liver disease - Mus musculus (house mouse)","46/563","156/9334",2.35436776806866e-20,3.63859524853183e-18,3.23430688758385e-18,"67273/12859/84682/68375/66142/54405/104130/66377/66576/67680/595136/230075/12861/68202/16846/68198/66091/12862/333182/12865/110323/13198/407790/75406/66594/66916/12857/67184/384783/12866/22272/78943/66152/22433/407785/17993/66218/12864/69875/68342/78330/17991/12868/67264/225887/17995",46
"mmu05208","mmu05208","Chemical carcinogenesis - reactive oxygen species - Mus musculus (house mouse)","55/563","222/9334",3.46532880812555e-20,3.63859524853183e-18,3.23430688758385e-18,"14859/67273/12859/66447/67126/84682/68375/66142/54405/104130/66377/14863/66576/67680/595136/230075/12861/68202/68198/66091/12862/333182/12865/110323/15461/407790/66043/75406/66594/66916/12857/67184/13057/15368/14860/100042295/12866/22272/66152/76113/71679/11951/407785/17993/66218/12864/28080/69875/68342/78330/17991/12868/67264/225887/17995",55
"mmu05415","mmu05415","Diabetic cardiomyopathy - Mus musculus (house mouse)","53/563","211/9334",8.90634546041093e-20,7.01374705007361e-18,6.23444182228765e-18,"12825/19701/67273/12859/67126/84682/68375/66142/54405/104130/66377/66576/67680/595136/230075/12861/12843/68202/68198/66091/12862/333182/12865/110323/407790/66043/75406/66594/66916/12857/67184/13057/17390/17227/12866/22272/66152/71679/12842/11951/407785/17993/66218/12864/28080/69875/68342/78330/17991/12868/67264/225887/17995",53
"mmu04714","mmu04714","Thermogenesis - Mus musculus (house mouse)","55/563","231/9334",2.54190612136673e-19,1.60140085646104e-17,1.42346742796537e-17,"67273/12859/67126/84682/68375/66142/54405/104130/66377/66576/67680/595136/230075/57423/11958/66993/12861/68033/68202/68198/66091/12862/333182/12865/110323/15461/407790/66043/75406/66594/208677/66916/12857/67184/12866/208501/22272/66152/71679/11951/407785/75597/17993/66218/12864/66379/28080/69875/68342/78330/17991/12868/67264/225887/17995",55
"mmu05020","mmu05020","Prion disease - Mus musculus (house mouse)","59/563","267/9334",5.75880381736178e-19,3.02337200411493e-17,2.6874417814355e-17,"67273/12859/67126/84682/18128/68375/66142/54405/104130/66377/66576/12260/12259/67680/595136/230075/12861/68202/12391/68198/53857/66091/12862/333182/12865/110323/13198/407790/66043/75406/66594/208677/66916/12857/67184/13057/17967/12866/22272/66152/19175/71679/11951/20304/407785/73710/17993/66218/12864/28080/69875/68342/15482/78330/17991/12868/67264/225887/17995",59
"mmu05012","mmu05012","Parkinson disease - Mus musculus (house mouse)","55/563","264/9334",1.58595848333502e-16,7.1368131750076e-15,6.34383393334009e-15,"67273/12859/67126/84682/68375/66142/54405/104130/66377/66576/67680/595136/230075/12861/68202/68198/53857/66091/12862/333182/12865/110323/13198/407790/66043/75406/66594/66916/12857/67184/22186/12866/75600/22272/78943/66152/19175/22433/71679/11951/407785/73710/70405/17993/66218/12864/28080/69875/68342/78330/17991/12868/67264/225887/17995",55
"mmu05016","mmu05016","Huntington disease - Mus musculus (house mouse)","58/563","302/9334",1.13320838049626e-15,4.46200799820401e-14,3.96622933173689e-14,"67273/12859/67126/84682/68375/66142/54405/104130/66377/67305/66576/67680/595136/230075/12861/20022/68202/68198/53857/232910/66091/12862/333182/12865/69920/110323/381917/407790/66420/66043/75406/66594/208677/66916/12857/67184/12866/22272/78943/66152/19175/71679/11951/407785/74325/73710/17993/66218/12864/28080/69875/68342/78330/17991/12868/67264/225887/17995",58
"mmu05010","mmu05010","Alzheimer disease - Mus musculus (house mouse)","62/563","383/9334",4.18461028140948e-13,1.46461359849332e-11,1.30187875421628e-11,"67273/12859/19225/67126/84682/68375/66142/54405/15108/104130/66377/66576/22417/67680/595136/230075/12861/14371/68202/68198/53857/66091/12862/333182/12865/110323/15461/13198/407790/66043/75406/66594/66916/12857/67184/384783/12866/75600/22272/78943/66152/19175/22433/71679/11951/407785/73710/70405/17993/66218/22422/12864/28080/69875/68342/78330/17991/12868/22423/67264/225887/17995",62
"mmu05014","mmu05014","Amyotrophic lateral sclerosis - Mus musculus (house mouse)","57/563","369/9334",2.8051596896286e-11,8.83625302233007e-10,7.85444713096007e-10,"67273/12859/67126/84682/66734/68375/66142/54405/104130/66377/67305/66576/67680/595136/230075/12861/107939/68202/68198/53857/66091/12862/333182/12865/110323/381917/13198/407790/103172/66043/75406/66594/66916/12857/67184/12866/22272/78943/66152/19175/22433/71679/11951/407785/73710/17993/66218/12864/28080/69875/68342/78330/17991/12868/67264/225887/17995",57
"mmu05022","mmu05022","Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse)","66/563","471/9334",5.82912975272557e-11,1.66925079282596e-09,1.48377848251196e-09,"67273/12859/19225/67126/84682/66734/68375/66142/54405/15108/104130/66377/67305/66576/22417/67680/595136/230075/12861/14371/68202/68198/53857/66091/12862/333182/12865/110323/381917/15461/13198/407790/66043/75406/66594/66916/12857/67184/22186/12866/75600/22272/78943/66152/19175/22433/71679/11951/20238/407785/73710/70405/17993/66218/22422/12864/28080/69875/68342/78330/17991/12868/22423/67264/225887/17995",66
"mmu04260","mmu04260","Cardiac muscle contraction - Mus musculus (house mouse)","23/563","87/9334",9.61928682980506e-10,2.52506279282383e-08,2.24450026028785e-08,"12859/21956/98660/84682/66142/12373/66576/22004/12861/12862/333182/12865/110323/66594/12857/21924/12866/11936/22272/17896/66152/12864/12868",23
