"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu00190","Metabolism","Energy metabolism","mmu00190","Oxidative phosphorylation - Mus musculus (house mouse)","52/496","141/9772",8.25109096889848e-32,2.56608929132743e-29,2.23213724105991e-29,"67273/12859/67126/84682/68375/66142/54405/104130/66377/66576/67680/595136/230075/57423/11958/12861/68202/66144/68198/66091/12862/333182/623286/12865/110323/76429/407790/66043/75406/66594/66916/12857/67184/12866/22272/66152/71679/11951/407785/17993/102631912/66218/12864/28080/69875/68342/78330/17991/12868/67264/225887/17995",52
"mmu05415","Human Diseases","Cardiovascular disease","mmu05415","Diabetic cardiomyopathy - Mus musculus (house mouse)","55/496","217/9772",2.69830535028214e-24,4.19586481968873e-22,3.64981302643427e-22,"12825/19701/67273/12859/67126/84682/68375/66142/54405/104130/66377/66576/67680/595136/230075/12861/12843/68202/68198/66091/12862/333182/623286/12865/110323/407790/66043/75406/66594/66916/12857/67184/13057/17390/17227/12866/22272/66152/71679/12842/11951/407785/17993/102631912/66218/12864/28080/69875/68342/78330/17991/12868/67264/225887/17995",55
"mmu05208","Human Diseases","Cancer: overview","mmu05208","Chemical carcinogenesis - reactive oxygen species - Mus musculus (house mouse)","56/496","229/9772",6.89110919457383e-24,6.37645602458197e-22,5.54662108078377e-22,"14859/67273/12859/66447/67126/84682/68375/66142/54405/104130/66377/14863/66576/67680/595136/230075/12861/68202/68198/66091/12862/333182/623286/12865/110323/15461/407790/66043/75406/66594/66916/12857/67184/13057/14860/100042295/12866/22272/66152/76113/71679/11951/407785/17993/102631912/66218/12864/28080/69875/68342/78330/17991/12868/67264/225887/17995",56
"mmu04714","Organismal Systems","Environmental adaptation","mmu04714","Thermogenesis - Mus musculus (house mouse)","57/496","238/9772",8.20122961361025e-24,6.37645602458197e-22,5.54662108078377e-22,"67273/12859/67126/84682/68375/66142/54405/104130/66377/66576/67680/595136/230075/57423/11958/66993/12861/68033/68202/68198/66091/12862/333182/623286/12865/110323/15461/407790/66043/75406/66594/208677/66916/12857/67184/12866/208501/22272/66152/71679/11951/407785/75597/17993/102631912/66218/12864/66379/28080/69875/68342/78330/17991/12868/67264/225887/17995",57
"mmu05020","Human Diseases","Neurodegenerative disease","mmu05020","Prion disease - Mus musculus (house mouse)","59/496","273/9772",3.51127939513771e-22,2.18401578377566e-20,1.89978695694819e-20,"67273/12859/67126/84682/68375/66142/54405/104130/66377/66576/12260/12259/67680/595136/230075/12861/68202/12391/68198/53857/66091/12862/333182/623286/12865/110323/13198/407790/66043/75406/66594/208677/66916/12857/67184/13057/17967/12866/22272/66152/19175/71679/11951/20304/407785/73710/17993/102631912/66218/12864/28080/69875/68342/78330/17991/12868/67264/225887/17995",59
"mmu04932","Human Diseases","Endocrine and metabolic disease","mmu04932","Non-alcoholic fatty liver disease - Mus musculus (house mouse)","44/496","162/9772",6.78324592352428e-21,3.51598247036009e-19,3.05841088130832e-19,"67273/12859/84682/68375/66142/54405/104130/66377/66576/67680/595136/230075/12861/68202/68198/66091/12862/333182/623286/12865/110323/13198/407790/75406/66594/66916/12857/67184/12866/22272/66152/407785/17993/102631912/66218/12864/69875/68342/78330/17991/12868/67264/225887/17995",44
"mmu05012","Human Diseases","Neurodegenerative disease","mmu05012","Parkinson disease - Mus musculus (house mouse)","55/496","274/9772",3.84651160647829e-19,1.7089501565925e-17,1.48654659077432e-17,"67273/12859/67126/84682/68375/66142/54405/104130/66377/66576/67680/595136/230075/12861/68202/68198/53857/66091/12862/333182/623286/12865/110323/13198/407790/66043/75406/66594/66916/12857/67184/22186/12866/75600/22272/66152/19175/71679/11951/407785/73710/70405/17993/102631912/66218/12864/28080/69875/68342/78330/17991/12868/67264/225887/17995",55
"mmu05016","Human Diseases","Neurodegenerative disease","mmu05016","Huntington disease - Mus musculus (house mouse)","58/496","308/9772",9.60427485337658e-19,3.73366184925015e-17,3.24776136489182e-17,"67273/12859/67126/84682/68375/66142/54405/104130/66377/67305/66576/67680/595136/230075/12861/20022/68202/68198/53857/232910/66091/12862/333182/623286/12865/69920/110323/407790/66420/66043/75406/66594/208677/66916/12857/67184/12866/22272/66152/19175/71679/11951/407785/74325/73710/17993/102631912/66218/12864/28080/69875/68342/78330/17991/12868/67264/225887/17995",58
"mmu05010","Human Diseases","Neurodegenerative disease","mmu05010","Alzheimer disease - Mus musculus (house mouse)","61/496","389/9772",1.13003002825185e-15,3.90488154207027e-14,3.39669844749386e-14,"67273/12859/19225/67126/84682/68375/66142/54405/15108/104130/66377/66576/22417/67680/595136/230075/12861/14371/68202/68198/53857/66091/12862/333182/623286/12865/110323/15461/13198/407790/66043/75406/66594/66916/12857/67184/12866/75600/22272/66152/19175/71679/11951/407785/73710/70405/17993/102631912/66218/22422/12864/28080/69875/68342/78330/17991/12868/22423/67264/225887/17995",61
"mmu05014","Human Diseases","Neurodegenerative disease","mmu05014","Amyotrophic lateral sclerosis - Mus musculus (house mouse)","55/496","375/9772",5.65340821492656e-13,1.68424438844036e-11,1.46505604274555e-11,"67273/12859/67126/84682/66734/68375/66142/54405/104130/66377/67305/66576/67680/595136/230075/12861/68202/68198/53857/66091/12862/333182/623286/12865/110323/13198/407790/103172/66043/75406/66594/66916/12857/67184/12866/22272/66152/19175/71679/11951/407785/73710/17993/102631912/66218/12864/28080/69875/68342/78330/17991/12868/67264/225887/17995",55
