"AUC.urea" "creat.D2" "mIGF1" "hIGF1"
"MEsaddlebrown" -0.266258564834256 -0.218824683880484 0.263444693615863 -0.275491888022753
"MEskyblue3" -0.340862439744971 -0.356867633194127 0.211995767368452 -0.214643658210223
"MEdarkgrey" -0.848617333583973 -0.849698426555119 0.189045302682625 -0.708198182969921
"MEorangered4" -0.670100656767245 -0.308481809477827 -0.460616210398836 0.0349158788860878
"MEsteelblue" 0.509297660323879 0.238188786842019 0.55064989237176 -0.065029161726086
"MEbrown" 0.190407345162612 -0.0663191136651929 0.31005644836669 0.0181032930664807
"MEviolet" 0.543635976497884 0.399746139702207 -0.279869108852607 0.730820006941392
"MEblack" -0.438241952509413 -0.427293098996128 0.355358919818229 -0.775503459528319
"MEturquoise" -0.565579589993972 -0.235550077735015 -0.325291531326797 -0.241671341180547
"MEdarkred" -0.586431890802092 -0.569007530034531 0.195283080432112 -0.592698049944271
"MEpink" 0.00193761848791279 0.132058061784959 -0.243253869594836 0.159411871443748
"MEpaleturquoise" 0.136102792976876 -0.036201960488292 -0.103328668919551 0.235917627207828
"MEdarkmagenta" 0.861288454822785 0.843862325852555 -0.177620868353871 0.737177584245443
"MEdarkorange" 0.567741935822298 0.553472609182944 -0.162987833314376 0.326450961299252
