"AUC.urea" "creat.D2" "mIGF1" "hIGF1"
"MEsaddlebrown" 0.285533382033209 0.38299728118325 0.290847420538704 0.268515368897919
"MEskyblue3" 0.166294647494409 0.146017582865716 0.398383218324909 0.392377948449409
"MEdarkgrey" 8.52721898318946e-06 8.08095704268659e-06 0.452480979270323 0.00100552140595642
"MEorangered4" 0.00234366897756614 0.212959314172957 0.0543942699887949 0.890602566566737
"MEsteelblue" 0.0308661284602926 0.341199831936349 0.0178771892210434 0.79767339804603
"MEbrown" 0.449169968539148 0.793741055850656 0.210511579615565 0.943161298951411
"MEviolet" 0.0197040004230851 0.100260658704774 0.26067243933372 0.000570818887727027
"MEblack" 0.0688940851136372 0.0769517817699626 0.147852277948363 0.000155923025538471
"MEturquoise" 0.014433726985397 0.346734206190514 0.187777079702601 0.333974283037378
"MEdarkred" 0.0105287950410141 0.0137230399749118 0.437419862324478 0.00953805169639896
"MEpink" 0.99391188196122 0.601427116111878 0.330720551144813 0.527495401189571
"MEpaleturquoise" 0.590233901006832 0.886597218027887 0.683266866814616 0.345960241113147
"MEdarkmagenta" 4.41870950857348e-06 1.07499346836897e-05 0.480736098959669 0.0004820366898624
"MEdarkorange" 0.0139821073901448 0.0171808983460996 0.518150655037559 0.18611683267506
