"MEsaddlebrown" "MEskyblue3" "MEdarkgrey" "MEorangered4" "MEsteelblue" "MEbrown" "MEviolet" "MEblack" "MEturquoise" "MEdarkred" "MEpink" "MEpaleturquoise" "MEdarkmagenta" "MEdarkorange"
"Ctrl1" 0.114603635284647 0.162483588151874 -0.0758659665323878 -0.322818365392514 0.264755994471013 0.0370531919903304 -0.171157285921604 0.163837255734176 0.0433698992749584 0.030280396451414 -0.215413092062965 -0.394442440624126 0.0667603120536774 -0.0342347607363205
"Ctrl2" 0.0554961544154811 0.0370769577185412 0.037683178796766 -0.195626975682033 0.165114723226385 -0.0893510429483423 -0.213988106521314 0.272452284690442 0.152749042340453 0.0828914008978641 -0.113403242821728 0.085403404378556 -0.0131085689137133 -0.00408737296291584
"Ctrl3" 0.293616568908325 -0.426451286263992 -0.0140264016252182 -0.249086192142938 0.328838320429599 -0.115589637738119 -0.247142233534282 0.375597198496155 0.100742634777136 -0.645501930432952 -0.256220828837163 0.0757108439185244 0.0370898204261894 0.143672503575469
"Ctrl5" 0.272258679226352 0.316196324780036 -0.0356033646037885 -0.303999022998866 0.48116411671943 0.263224066547464 0.0393271937560283 -0.0107770452116131 -0.149033800313633 0.0297637072292751 -0.280756209576614 0.0276694884000644 0.087238812768369 -0.156006717828786
"Ctrl6" -0.150812498957146 -0.178224483592788 -0.0379916669934858 -0.268706747605152 0.240798463952277 -0.240858834301465 -0.19926316464014 0.249207008507704 0.227965904242922 0.0510903902504162 0.0749933961004291 0.0448427840811979 0.0735778689768415 0.164412687196085
"Ctrl.IGF1_2" -0.280445581021862 -0.242287602884733 -0.340955440802865 -0.167035998694724 -0.00278799354164048 0.0304026439834635 0.266993795385733 -0.307419628707324 -0.0997704352596619 -0.068596967385097 0.220852331227485 -0.287804063566473 0.256557718299715 0.254407523696218
"Ctrl.IGF1_5" -0.351627149273923 -0.223522666054986 -0.296822701591234 -0.243485109421233 -0.0358337545148632 -0.117785042443336 0.16977427616604 -0.174503300020017 0.0331483417465323 0.0590885043274467 0.323792028102531 0.223279511530052 0.306897045065686 0.344332859700951
"Ctrl.IGF1_6" -0.322283416608385 -0.327110398114758 -0.304008955660935 -0.262065837011962 0.113069073754375 -0.157240866838495 0.0853175784421799 -0.0820553930394024 0.0644742238656209 -0.00106959845674708 0.234287313198846 0.352712365929224 0.305662753219796 0.325537583869315
"LPHC.IGF1_1" 0.422409140354384 0.377990447633022 -0.161429667293813 0.252694190871575 0.199883834853052 0.689729143233527 0.558494951376098 -0.460744033910269 -0.694944903169332 -0.447883594720187 -0.523755263728811 -0.0368711638487056 0.178141316007879 -0.354696788875529
"LPHC.IGF1_2" -0.151427472139077 -0.252781733020269 -0.0535080805243373 0.0471538007193622 -0.223448658850138 -0.240419208417077 -0.119356256520059 0.106465958048897 0.158627247918674 -0.0185741225862976 0.1225998003777 0.466691446930029 0.1263158073892 0.243365173439267
"LPHC.IGF1_3" 0.280185962182163 0.233253123180908 -0.0504705817597363 0.172494542477841 0.0257397492691723 0.43702773839241 0.376533579582691 -0.347053907706819 -0.496697089417641 -0.323576025533941 -0.324670685240967 -0.246034157666534 0.0744968657568078 -0.261692389779844
"LPHC.IGF1_4" -0.332470581380775 -0.197741845238345 -0.121872329358771 0.104632183740352 -0.272013821904342 -0.186997513886323 0.0643843230264779 -0.109169783513962 0.128998219703272 0.188158753509331 0.359109577046886 -0.317534612263365 0.103265278401179 0.309246404135039
"LPHC.IGF1_5" -0.24488158806508 -0.0692581602421507 -0.251774178753357 0.203267881178096 -0.354639595551545 0.0783675543479833 0.264305619435519 -0.299358701681869 -0.110774568401773 0.115650693001504 0.162913500832011 0.371915906416312 0.17018079531215 0.161124191958113
"LPHC1" 0.16805688291916 0.0932708223957091 0.353178626440777 0.295151142438664 -0.0884990606395871 -0.0413787135501375 -0.182549263610145 0.16238944631675 0.082890250098905 0.0573386362978937 -0.0580660437417443 0.00668993215276236 -0.342029278614235 -0.236763723731481
"LPHC2" 0.066061685127742 0.100190321172552 0.328439013720079 0.136984826564409 -0.112936494624121 -0.175490151906049 -0.289152027169666 0.275648740038093 0.208566580006565 0.167063856538199 -0.00225912137376549 -0.144612240467394 -0.310761117391057 -0.177641600031444
"LPHC4" 0.0443639788770232 0.213967886124024 0.32444862626713 0.323578497056408 -0.207135381014496 -0.0152219722843565 -0.105911661546202 0.0263539455713195 0.108728205177475 0.268715367545766 0.116423945498323 -0.0745547312318495 -0.347826122925326 -0.222710552497022
"LPHC5" 0.0956834652877026 0.187791091281792 0.358877410048097 0.274558675012904 -0.28166553715729 -0.0790448368441338 -0.171885970777583 0.115854368147876 0.132608129020636 0.192733359431557 0.0465650036938233 -0.161528545246129 -0.416084836306765 -0.272322579750201
"LPHC6" 0.0212121348632666 0.195157612973563 0.341702480227079 0.202308508889807 -0.24040397887728 -0.0764265173373448 -0.124725346929771 0.0432755882398619 0.108352118388893 0.262427173634556 0.113007591305724 0.00846627117785434 -0.356374469526394 -0.225942441376914
