"MEpink" "MEturquoise" "MElightcyan" "MEgrey60" "MEroyalblue" "MEdarkred" "MEdarkgreen" "MEviolet" "MEorange" "MEsienna3" "MEpaleturquoise" "MEcyan" "MElightyellow" "MEdarkmagenta" "MEplum1" "MEwhite" "MEskyblue" "MEdarkorange" "MEdarkturquoise" "MEpurple" "MEsalmon" "MEblack" "MEblue" "MEorangered4" "MEdarkgrey" "MElightgreen" "MEsteelblue" "MEyellowgreen" "MEskyblue3" "MEsaddlebrown" "MEmidnightblue" "MEbrown" "MEgreenyellow" "MEdarkolivegreen" "MEmagenta" "MEred" "MEgreen" "MEtan" "MEyellow"
"Ctrl1" -0.0999848906691797 0.0433698992749584 -0.315671128680706 -0.312187651962678 -0.460544748672377 0.030280396451414 -0.107017194049193 -0.0373905804606662 -0.159420727493911 -0.0982360999920913 -0.394442440624126 -0.160988062220689 -0.164704136354649 0.0847862941544647 0.0362051167187926 0.113844319057506 0.0359315700974541 -0.107723672331488 -0.0883019812943875 0.207940686031921 0.109223408326927 0.183928258467289 0.151504621647237 -0.322818365392514 -0.271031341307272 0.0747482896660633 0.280357082669689 0.200335220422643 0.162483588151874 -0.227612799777013 0.121704558059943 0.0370531919903304 0.0425289184262575 0.174993484873818 -0.0641812158928898 0.055995268264929 -0.203840099952676 -0.371915321119008 -0.245595434860593
"Ctrl2" -0.00209692611705214 0.152749042340453 -0.270404063807251 -0.184764613009916 -0.311789905962315 0.0828914008978641 -0.029996767107522 -0.0440189575452961 -0.125276827956892 -0.0778338641519128 0.085403404378556 -0.181701047786045 -0.148290205268923 -0.00476535682568779 -0.0254126307018 0.0739592459309091 0.079188100527727 -0.0696427256875419 -0.0466902443182119 0.228156447552701 0.0781070730116191 0.281495636559686 0.260402013507756 -0.195626975682033 -0.103768757244872 0.140134137877432 0.19521046739393 0.0914844133437099 0.0370769577185412 -0.172635190852514 0.0222532974085426 -0.0893510429483423 -0.0808468266792428 0.0693454565546471 -0.128600695598955 -0.0586022694407143 -0.245659850988832 -0.32681573245715 -0.254000787451789
"Ctrl3" -0.0917204425316711 0.100742634777136 -0.251007416547747 -0.186223441601199 -0.213441365569911 -0.645501930432952 -0.524333258236531 -0.830887920365299 -0.672039517497489 -0.705470668380807 0.0757108439185244 -0.182536601856417 -0.190424634579291 -0.0184152484333993 0.115413041397067 0.482818775378216 0.270558230609847 -0.0712859494041627 0.0499920450053924 0.454894416240788 0.358920173380851 0.492789099892607 0.323742245288784 -0.249086192142938 -0.0400958820396524 0.00593438409476091 0.345260959142991 0.266293185166624 -0.426451286263992 0.121708221209291 0.244512275116397 -0.115589637738119 0.0276366047575033 -0.193004660650055 -0.166058305295133 -0.183945464190247 -0.155950344126812 -0.304361049938262 -0.29416386736502
"Ctrl5" -0.240402091362264 -0.149033800313633 -0.268644008283163 -0.341630077056376 -0.36875911094811 0.0297637072292751 -0.164218034075822 -0.0122202371474871 -0.105426811994113 -0.112944710969238 0.0276694884000644 -0.068345472841099 -0.142724271062935 0.20435486376211 -0.0863482538098431 -0.0117957853219206 -0.113664371783398 -0.219311561011182 -0.168332736895064 0.206824199247607 0.221328329721466 0.0786041187587827 -0.0408827211475911 -0.303999022998866 -0.127105970604898 0.0375040234501348 0.489868913794847 0.396117596961295 0.316196324780036 0.079617680080091 0.309884978088753 0.263224066547464 0.269606949823901 0.340367120649974 0.135742190400267 0.263431371997976 0.0443480902749938 -0.210087276388878 -0.0499230327052092
"Ctrl6" 0.153632410539993 0.227965904242922 -0.0616328550861835 0.0452833667722219 0.000137250139280107 0.0510903902504162 0.0535374749076421 -0.107089684819919 -0.113405405621967 -0.0609496251544891 0.0448427840811979 -0.0617989204044034 -0.00424779415415572 0.0730015902114556 0.0691172787499227 0.196084478232028 0.24272525839364 0.111060150862153 0.0945194484480408 0.0604450217088034 -0.117731053725054 0.209867566950289 0.25414778700345 -0.268706747605152 -0.137146260148066 0.0369931984574704 0.19858589754144 0.263495540199345 -0.178224483592788 -0.339315806279024 -0.175786966863104 -0.240858834301465 -0.262969036417544 0.0545676091938945 -0.103492316990393 -0.130866388520253 -0.334290719972671 -0.16529208799832 -0.216141435439502
"Ctrl.IGF1_2" 0.112661496113481 -0.0997704352596619 0.384204204272841 0.225386813251987 0.278308458998443 -0.068596967385097 0.182606030902687 0.18304569161295 0.277169062085316 0.205362074020106 -0.287804063566473 0.349240691596526 0.348716396947618 0.254749872236028 0.239062567642339 0.197052554077597 0.162250751771478 0.268434897928537 0.278141500187114 -0.39363525457231 -0.338657828459932 -0.376663144765229 -0.273857881791223 -0.167035998694724 -0.243761767317689 -0.385283836052791 -0.107205262948797 0.144932611919945 -0.242287602884733 -0.11689048324392 -0.220484773653815 0.0304026439834635 -0.0828928370504037 0.17228759322644 0.251051100325635 0.146782499272325 0.144491850662556 0.352296174051744 0.281588692443889
"Ctrl.IGF1_5" 0.223663935759648 0.0331483417465323 0.415922308305914 0.329355084345366 0.343580764009194 0.0590885043274467 0.294903624993991 0.174126252428062 0.330011850639687 0.297291291436022 0.223279511530052 0.321899939915065 0.348247596047288 0.323951016197418 0.254197199924532 0.238148934635525 0.247391010813878 0.384569062880271 0.349558050755872 -0.348242871080259 -0.374468497244832 -0.253266175595541 -0.142052067431678 -0.243485109421233 -0.270865482698596 -0.292789031502316 -0.122892471105962 0.0940530101746039 -0.223522666054986 -0.258981638080253 -0.314274069473649 -0.117785042443336 -0.23303921235302 0.0719226470791167 0.147194675180302 0.0170788007633173 0.0130526897708257 0.323313482062853 0.210321810111978
"Ctrl.IGF1_6" 0.189628664357064 0.0644742238656209 0.277618020218354 0.245438596272024 0.217710119973077 -0.00106959845674708 0.18357380484824 0.0280050812117617 0.179282814698993 0.128327207489651 0.352712365929224 0.226419057758796 0.293460163412334 0.324263952843347 0.249666599359765 0.242255678219783 0.298410054735913 0.307350559913887 0.314549270025473 -0.266755633887055 -0.321384301099305 -0.159420344380501 -0.0532782342840607 -0.262065837011962 -0.296072947634295 -0.28585692265212 0.0315764420536054 0.209679516215113 -0.327110398114758 -0.25733107494812 -0.308595067216349 -0.157240866838495 -0.262527382340896 0.0759330334698752 0.0715355245142327 -0.0262147277642949 -0.0396897745606828 0.205600898978402 0.117602875974763
"LPHC.IGF1_1" -0.671687398917503 -0.694944903169332 -0.142435791606403 -0.488126821006999 -0.257875513657603 -0.447883594720187 -0.389017434395244 0.17809903208061 -0.0631279696294245 -0.25363471591662 -0.0368711638487056 0.289468093265153 0.00760189540854719 0.218938613208549 0.105710108624936 -0.185933923870761 -0.494580986871146 -0.379485595868378 -0.224345305985528 0.0682523502512393 0.279789797923884 -0.214163044615497 -0.527995207821135 0.252694190871575 -0.0522041047073287 -0.230345334417545 0.168871716134793 0.217467766603219 0.377990447633022 0.484850360977572 0.508871306712889 0.689729143233527 0.62232279070172 0.486153430478484 0.581695951601848 0.656412061835641 0.639867029684359 0.226437465189776 0.492247791830272
"LPHC.IGF1_2" 0.155204910840317 0.158627247918674 0.0662096784430448 0.134561247548661 0.0943588175692642 -0.0185741225862976 0.0630481249152221 -0.0556892235740037 -0.0196380979996055 -0.0930030609656957 0.466691446930029 0.0547554606314845 0.191312425702005 -0.00139257746398052 0.301246209903359 0.184631714105663 0.239374793773864 0.182993324392684 0.271259292800548 -0.0425458346643536 -0.115231414492724 0.0623857395429286 0.118415141437772 0.0471538007193622 -0.0562242836676698 -0.0456413067731908 -0.250324597336811 -0.151786768893137 -0.252781733020269 -0.105956671188005 -0.163077324957348 -0.240419208417077 -0.229128123150478 -0.184856980298959 -0.12079628457752 -0.215348675916105 -0.180276030091252 -0.03022244521288 -0.0810035732816666
